Year,Mean_coastalkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1948,7808.5,-2354.8070008064,-4614.3884635021,6329.1526534449,-3531.3750815188,7264.6469239304,-7429.4636665248,3076.9559864397,-4086.4367073259,-7444.9685183319,6299.2135507457,-4573.2372494101,-6964.3422003538,-2863.1411632382,2403.2773202001,-7176.6993881249,6653.849058028
1949,7708.5,2436.9899410345,-6253.2595184617,7049.8837153886,-2368.3033222054,7469.1912597178,-7542.0488221064,3660.0895142554,-4536.7888473446,-7313.1424351845,4507.5179028782,-3117.7093914441,-7335.6739038776,-1905.8211290032,1593.2582386304,-6784.1518996584,6232.055776757
1950,8525,6932.6878476401,-8117.1666516443,8342.9285877597,-1318.480051941,8459.3041917504,-8479.3599761613,4703.6956701602,-5542.3633297179,-4961.1958444697,2605.2313811702,-1752.4747015411,-8422.4245530983,-1056.3132070721,880.9536847498,-7109.9136452222,6477.4866824563
1951,7291,7290.8281897262,-7290.957047305,7290.9809099029,12.5133548466,7290.9931275631,-7290.9952274742,4551.4524380413,-5159.9377840332,50.0530507938,-25.0266728339,16.6844667579,-7290.9892618184,10.0106856465,-8.3422388396,-5695.8723391811,5151.0895027078
1952,5797.25,4667.6657438751,-5507.6189408936,5667.9224506305,916.2596950114,5750.5806906809,-5764.8274470889,4010.1799866666,-4411.3429972858,3438.1687081869,-1809.4864366472,1217.68742136,-5724.3843104563,734.1180303382,-612.2679705742,-4186.4739384163,3761.4040626869
1953,7397,2241.9406259721,-5970.7304331345,6751.2352363418,2296.7494406339,7162.3127163874,-7233.757531298,5574.7974927065,-5987.6817138342,7049.0645641543,-4366.4616218218,3022.6531034137,-7031.3975145022,1848.4819589801,-1545.4322949873,-4861.8146730736,4343.1873887521
1954,6950.5,-2186.8486165418,-4068.7687904774,5615.0141446284,3164.6068295909,6459.382880138,-6608.1996815411,5626.519574002,-5928.9564857179,6597.5103924382,-5635.1194113024,4096.4699932532,-6188.2722842573,2566.2858488058,-2154.3321978934,-4080.6528562686,3627.247612235
1955,8120.5,-6596.2060335983,-2487.773015587,5422.4190219954,4782.2881279219,7111.6694766535,-7415.3649242001,6974.3578347897,-7237.9931953819,4736.3051223841,-7730.0391766742,6044.8235871613,-6562.944500111,3920.0353958651,-3309.8162019881,-4159.4294130696,3681.572320844
1956,6482.25,-6482.1599011765,17.0886380149,3231.2538583926,4589.6807016541,5240.2297124494,-5610.9428969677,5842.4222130261,-5990.451685424,-34.1771572694,-6482.227475255,5619.4807202377,-4577.5971993355,3815.6988381242,-3246.0568185827,-2808.1431137389,2476.7021756968
1957,6372.25,-5136.6403967547,1984.1387671078,1959.123341775,5159.893328413,4640.8461564665,-5152.1642916897,5967.5057397487,-6061.5880891265,-3771.0072257857,-6055.4738390452,6063.6132622565,-3739.127024039,4366.7055103946,-3749.7697494563,-2234.8255655793,1965.3803449358
1958,7242.75,-2206.1791472319,4270.7507269733,745.9429552555,6457.1436173546,4611.5269404227,-5378.666465848,6983.0164266666,-7043.6107394253,-6898.5651502917,-5849.6252692422,7204.2346345746,-3280.6590599081,5584.9124290588,-4850.502511252,-1922.2146465482,1686.7054615293
1959,8487.25,2657.5249589152,6877.0811857231,-899.3041149141,8074.6801749676,4541.5073368601,-5674.5393519296,8351.7893852418,-8383.4730833198,-8060.4574098027,-4973.8483016145,8439.4706392877,-2613.9917051295,7169.9458625394,-6311.3402464059,-1510.3067989857,1323.1748273578
1960,6390,5184.5947260829,6081.1865741675,-1982.7164432997,6312.3245404894,2716.1052664281,-3752.5019605135,6364.601874768,-6370.551538671,-3735.2479872524,-1962.465248142,6074.6140211102,-993.3070499774,5784.0186878745,-5172.1203617417,-569.1598858846,498.1697432967
1961,11173.25,11173.1743522942,11173.2310880576,-5598.4897432286,11173.2452720134,3444.9026137287,-5580.6894752787,11173.2484561676,-11173.2488180033,41.1151521254,20.5576108587,9669.4585245227,10.2788097789,10628.9304045339,-9679.7427932262,5.8736061458,-5.1394054331
1962,7133.25,5756.7947374917,6780.4097082592,-4779.0122931269,7044.4876717168,1331.9270547794,-2897.7030664436,7104.2257769022,-7111.0247941761,4212.1930051801,2215.6939659267,5295.6866471349,1121.8061354485,7007.7975058678,-6518.1724817025,642.8309834619,-562.6561464278
1963,6471.75,1981.1434930076,5229.9624025117,-5239.6112222653,6153.4769537618,402.4338818722,-1996.7591410589,6367.2434125903,-6391.686496458,6161.0566076456,3811.9603002673,3798.6869181353,2004.5621571861,6459.2255753474,-6156.0134011467,1158.3433805767,-1014.8358455908
1964,6879.5,-2143.6983841416,4036.0839446361,-6287.2742869193,6127.5508870643,-435.7081462013,-1427.2730630715,6630.8697360795,-6688.8716005601,6536.9777028707,5571.1351304605,2792.4366225653,3127.401537449,6865.6885059937,-6729.8151425898,1832.7811634632,-1608.2652023907
