Year,Mean_shwbl,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1946,4631.75,-4631.5843381222,-19.5870416698,2327.1743990198,-3268.2094319555,3751.7643039562,-4014.473694344,1036.1165852257,-1777.0170266545,-39.1737330572,4631.7085843454,-4004.6681983714,-3282.0595929046,-2716.1319316374,2310.2183922565,-4514.3737643576,4277.3027189433
1947,4299.25,-3457.483224753,-1345.1702138541,2885.4173396152,-2519.9531266065,3770.8280593106,-3929.928819956,1333.2946848241,-1955.7149693829,-2555.2613003471,4083.3892366831,-3187.148778885,-3483.3011357341,-2065.0439001668,1743.3330240031,-4087.2822077659,3828.6720310091
1948,5002.75,-1508.677815622,-2956.3465308043,4054.9617003293,-2262.4814867219,4654.314195901,-4759.90899119,1971.3442480837,-2618.0983847826,-4769.8426400826,4035.7803151685,-2929.9817698004,-4461.914957139,-1834.3573611308,1539.7317812167,-4597.9679661833,4262.9882019657
1949,4779.5,1511.0064763799,-3877.2074811556,4371.1382522799,-1468.4187232899,4631.1214407241,-4676.2953032701,2269.3647056345,-2812.9444503968,-4534.3665134546,2794.7955914648,-1933.0728463913,-4548.3366963201,-1181.6659643343,987.8676463039,-4206.3765978358,3864.0605286385
1950,6516.5,5299.338458551,-6204.7526669138,6377.324826057,-1007.8446050995,6466.2822012365,-6481.6128193144,3595.4994527389,-4236.5760279304,-3792.332283928,1991.4358117766,-1339.5896061692,-6438.0914487115,-807.4445764088,673.399963246,-5434.8096503332,4951.3832218447
1951,4534.75,4534.643139948,-4534.7232849083,4534.7381266194,7.7828742135,4534.7457255818,-4534.7470316539,2830.8461038826,-3209.3029579131,31.1312676021,-15.5657255018,10.3771616555,-4534.7433212222,6.2263004712,-5.1885842241,-3542.6357276233,3203.7996327533
1952,5399.5,4347.4166516975,-5129.7405617068,5279.0456289068,853.3950102573,5356.0326774474,-5369.3019622332,3735.0410691286,-4108.6802387071,3202.275551314,-1685.3373607618,1134.1417450745,-5331.6336339314,683.7501064834,-570.2601935599,-3899.2394722462,3503.3336903667
1953,4413.5,1337.6781063577,-3562.5008471866,4028.1974740563,1370.3803780232,4273.4712956301,-4316.0996166532,3326.2631788644,-3572.6150120329,4205.9005615648,-2605.2965212803,1803.498644304,-4195.3593254367,1102.9167400242,-922.09888251,-2900.8542733014,2591.4096985612
1954,5103.25,-1605.6449467473,-2987.4029681324,4122.6992207143,2323.5421628818,4742.6581804279,-4851.9236061901,4131.1468262752,-4353.2044005093,4844.0752334667,-4137.4610654958,3007.7419600128,-4543.6012566917,1884.2382933484,-1581.7704897345,-2996.1285790594,2663.2258653533
1955,5845.25,-4748.0417853446,-1790.7339719672,3903.1334016771,3442.3581897341,5119.0796143598,-5337.6838646857,5020.2407651997,-5210.0092020573,3409.2589762472,-5564.1908130601,4351.1489530023,-4724.0996661873,2821.6965578081,-2382.4522079516,-2994.0157350834,2650.0474857969
1956,4728.25,-4728.184280572,12.464707886,2356.9248418288,3347.7816772874,3822.3018454841,-4092.7055810232,4261.5500526423,-4369.524961488,-24.9293291464,-4728.2335701145,4098.9331968782,-3338.967790159,2783.2277421205,-2367.7223421596,-2048.3015430655,1806.5435708648
1957,4060,-3272.7466767349,1264.1693898478,1248.2311220693,3287.5619935434,2956.8575299547,-3282.6375337221,3802.1222179575,-3862.0656191853,-2402.6504510479,-3858.1700006314,3863.3559331102,-2382.3383761777,2782.1922197343,-2389.1192565879,-1423.8913721609,1252.2176939761
1958,5595.25,-1704.3421177798,3299.2879783366,576.2641704316,4988.3445963209,3562.5482190329,-4155.1874002328,5394.5977234208,-5441.4087176514,-5329.3564816085,-4519.0177470888,5565.4956803844,-2534.4113223501,4314.5188317547,-3747.1642920276,-1484.9706949845,1303.0325130125
1959,3609.5,1130.2054657521,2924.7193778748,-382.4605381935,3434.0402476121,1931.4348855514,-2413.2963905611,3551.890634308,-3565.3652354111,-3427.9915191237,-2115.3030068253,3589.1801552339,-1111.6914265121,3049.2703279432,-2684.1182502462,-642.3108063199,562.7263883293
1960,4641.75,3766.1334225032,4417.4253177844,-1440.2619797631,4585.3258897992,1973.0018185356,-2725.8491354012,4623.3005871994,-4627.6224733374,-2713.3157034161,-1425.5513404637,4412.6509597009,-721.5466352477,4201.5600539032,-3757.0719388285,-413.4425509085,361.8747114158
1961,4184.5,4184.4716691361,4184.492917278,-2096.6934715092,4184.4982293191,1290.1523717046,-2090.0270833736,4184.4994218185,-4184.4995573298,15.3980582256,7.6990421443,3621.3142278089,3.8495227011,3980.646569062,-3625.1657949348,2.1997274667,-1.9247615541
1962,4506.25,3636.7092539616,4283.35208325,-3019.0199622757,4450.1766474852,841.4111787193,-1830.5505124819,4487.9146822508,-4492.2097891923,2660.9462348289,1399.7085387386,3345.4158978939,708.672610362,4426.9985645837,-4117.6903579255,406.092190688,-355.443768246
1963,5098.5,1560.7617876307,4120.2091102416,-4127.8105329655,4847.7617721257,317.040853977,-1573.0639287193,5016.1688166403,-5035.4252871621,4853.7330882808,3003.094926552,2992.638042587,1579.21121156,5088.6331511428,-4849.7600070686,912.5528220142,-799.4963585962
1964,6205.5,-1933.675459378,3640.659774466,-5671.2959644564,5527.2210232833,-393.0208447202,-1287.439929194,5981.2285990611,-6033.5478911659,5896.5353783217,5025.3185626968,2518.8553617747,2821.0030148469,6193.0416489489,-6070.4801028186,1653.2194941305,-1450.6998638615
1965,5385.5,-4364.5635986635,1658.0490025023,-5268.7100929323,4355.0564378074,-1011.6872035423,-560.7905333157,5041.4422667684,-5121.4141941368,3155.026916402,5123.9129340087,1115.483844183,3168.1372561037,5289.6218439685,-5356.2229441784,1894.0618049158,-1665.7511525117
1966,5115.25,-5115.2388586057,-5.3381184566,-5115.2487620669,3615.140159943,-1582.729784008,1.779373106,4608.0190471991,-4725.3639153852,-10.6762310999,5115.2472146507,-3.5587459966,3618.9147802163,4864.2315933058,-5115.2496905167,2220.7978348221,-1958.7543055922
