Year,Mean_pen,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1939,1422.5,454.010134837,1155.278249342,-1147.8406931902,-1354.0475544989,92.3538925907,-441.9857825411,-557.0803836935,220.6508596463,-1348.1027584963,-829.9629007355,-840.219014934,435.9603997561,-1419.4988582325,1352.092754966,-1308.8803215359,1405.2826933174
1940,1732.75,1412.309256583,1650.6970386543,-1154.9785025225,-1712.1138770871,328.2139793675,-707.5074424535,-533.007550396,133.7109606154,-1003.8949777093,-526.8983289762,-1291.6838704617,266.6245194761,-1701.3812465899,1581.7255708159,-1648.7345188722,1727.5832661586
1941,1495.25,1495.174482523,1495.2311205116,-743.282639896,-1495.2452801204,464.9151964458,-749.7930365092,-330.631071243,-1.8784834192,15.0276183118,7.5139040288,-1297.4218588143,-3.7569638736,-1421.1356102124,1293.6703463024,-1458.2371745463,1495.2488200297
1942,1549.5,1244.6490779112,1471.314717561,-474.0388227177,-1529.8288147471,662.4726364833,-912.805317195,-205.8595209052,-123.4514105821,922.9295329844,485.9868844818,-1475.2075937157,-246.117954586,-1400.7427515111,1252.0929290195,-1535.7643398818,1544.5743747794
1943,1443.5,433.1233467417,1163.8096496038,-146.3815256059,-1371.7965372465,775.7591798017,-967.5718365548,-62.8231128983,-227.4906025363,1376.9881686156,853.9551214725,-1436.0587379914,-449.2955713097,-1217.3290208294,1071.2128598491,-1442.1322777352,1425.4614255593
1944,1542.5,-489.980952601,900.9746474271,165.8850402661,-1372.7817823049,985.3867442929,-1147.8640870352,71.2060312884,-361.7943827609,1462.6089416137,1252.0187437469,-1533.5541736163,-703.4034604491,-1186.7262591566,1030.3952094681,-1540.8555906081,1499.470264661
1945,1552.25,-1263.7555553401,473.1889166725,483.9883144241,-1253.7917607013,1133.4049231636,-1257.129850804,210.2919505976,-481.2908694082,901.3334337785,1478.3681245341,-1474.8679174763,-915.1427666204,-1060.6004632511,910.551811111,-1537.9393219545,1475.7503723612
1946,1748.25,-1748.1874710686,-7.3931118042,878.3899483103,-1233.582801191,1416.1001661125,-1515.2595965104,391.0813019098,-670.7335276836,-14.7860913947,1748.2343676973,-1511.558520603,-1238.810532368,-1025.2016299423,871.9899183381,-1703.9464421737,1614.4641827371
1947,1951.25,-1569.2072203988,-610.5165737705,1309.570409705,-1143.7014684633,1711.4213527313,-1783.6305425223,605.1267671717,-887.6173365142,-1159.7263737401,1853.2798158,-1446.5137069952,-1580.924891807,-937.2371716463,791.2260424693,-1855.0466727693,1737.6743154054
1948,1563.25,-471.428833196,-923.793656345,1267.0868778252,-706.9760000236,1454.3714290625,-1487.3674939739,616.0019780754,-818.0985058241,-1490.4715420737,1261.0931143246,-915.5552449434,-1394.2508733692,-573.1965708436,481.1325185122,-1436.7644641719,1332.0906115083
1949,1968,622.1698390032,-1596.473338825,1799.8535580054,-604.6339674515,1906.9038592625,-1925.5045834994,934.4303254919,-1158.2539341732,-1867.0641904966,1150.7809862962,-795.9592764302,-1872.8165327666,-486.561066599,406.7629517577,-1732.0115377217,1591.0599686914
1950,1715.75,1395.2796685734,-1633.6690536726,1679.1061260351,-265.3586098672,1702.5279961285,-1706.564443296,946.6704804783,-1115.4615698491,-998.4952223048,524.3314653657,-352.7048057676,-1695.1055632819,-212.5946492708,177.301616963,-1430.9483093009,1303.6654282023
1951,1592.25,1592.2124790964,-1592.2406197465,1592.2458309962,2.7327375195,1592.2484991582,-1592.2489577487,993.972040114,-1126.8565267627,10.9308695826,-5.4654669894,3.6436486347,-1592.2476549349,2.186190402,-1.8218255099,-1243.8969595475,1124.92418882
1952,1160.5,934.3785580693,-1102.5213300974,1134.611066274,183.417892287,1151.1576853741,-1154.0096170334,802.7623225713,-883.0675834836,688.2564639874,-362.2250221621,243.7580322546,-1145.9136646314,146.9565697887,-122.5644883093,-838.0530433451,752.9620793908
1953,1710,518.2801771546,-1380.2824172854,1560.7154595302,530.9505939548,1655.7462140087,-1672.2624548492,1288.752698733,-1384.201126221,1629.5660949985,-1009.4158947297,698.761228449,-1625.4819183181,427.3224482704,-357.2650026265,-1123.9290375768,1004.0354785408
1954,1708.75,-537.627159703,-1000.2889965799,1380.4266483899,778.004736359,1588.0110058896,-1624.5969650865,1383.2552078377,-1457.6079987009,1621.9690501516,-1385.3694401932,1007.0992160235,-1521.3596526472,630.9101423131,-529.6331405151,-1003.2106421335,891.7429476162
1955,1661.75,-1349.8239488125,-509.0889487903,1109.624383942,978.6302932793,1455.3065393546,-1517.4536866929,1427.2075773612,-1481.1569721601,969.2204959204,-1581.8474973017,1236.9910222234,-1343.0174278751,802.1819862175,-677.30891862,-851.1707194346,753.3837576704
1956,1705,-1704.9763016709,4.494755342,849.9036335469,1207.2051519643,1378.3164271243,-1475.8236166964,1536.7086849797,-1575.6442783984,-8.9894794469,-1704.9940754074,1478.0692858198,-1204.0268772212,1003.6278327744,-853.797196295,-738.6145256546,651.4369562364
1957,1616.25,-1302.8514325795,503.2546247146,496.9097416366,1308.7492788336,1177.0987642338,-1306.7888950439,1513.5911415699,-1537.4540780809,-956.4738402724,-1535.903266877,1537.9677406131,-948.3877833737,1107.5660529915,-951.087191739,-566.8385296195,498.4967605638
1958,1643.5,-500.6186087433,969.1041137387,169.2668181233,1465.2328929098,1046.4318838266,-1220.5085549855,1584.5621479723,-1598.3120016907,-1565.3987538579,-1327.3769120844,1634.7602253182,-744.4359069358,1267.3091818934,-1100.6594010897,-436.1823577511,382.7414208724
1959,1939.5,607.295609039,1571.5454310536,-205.5083013787,1845.2198532327,1037.8218480474,-1296.741473748,1908.5446419837,-1915.7849768887,-1841.969677612,-1136.6200808249,1928.5814963502,-597.3474225572,1638.4706471938,-1442.2627362107,-345.1341761622,302.3709184554
1960,1672.75,1357.2035724656,1591.9099909137,-519.0280016478,1652.4164123793,711.0117503001,-982.3157518699,1666.1013749637,-1667.6588554479,-977.7990720933,-513.7267204741,1590.1894528658,-260.024157723,1514.1185070645,-1353.9380806109,-148.9925194231,130.408988748
1961,2257,2256.9847191397,2256.9961797817,-1130.8966818488,2256.9990449452,695.8714070826,-1127.301022147,2256.9996881454,-2256.9997612363,8.3052736086,4.1526438331,1953.2336508937,2.0763227951,2147.0472712087,-1955.3110763933,1.1864702813,-1.0381615074
1962,1729.75,1395.9717796483,1644.1893516786,-1158.8681896802,1708.2259208849,322.9805240255,-702.667350672,1722.7118827458,-1724.3605842675,1021.4195283651,537.2861791696,1284.1571482678,272.0280605323,1699.3288803526,-1580.5991448814,155.8808248194,-136.4391363381
1963,1615.75,494.6162319044,1305.722834142,-1308.131777707,1536.2893171153,100.4724448001,-498.5148657111,1589.6586771573,-1595.7611861787,1538.1816686064,951.7016039181,948.3877448877,500.462982265,1612.6231271862,-1536.9225716233,289.1943164008,-253.3659392766
1964,1983.25,-617.9940141506,1163.538554139,-1812.5207834192,1766.4750776612,-125.6077012797,-411.4600337723,1911.5738649727,-1928.2948763443,1884.5062910413,1606.069299729,805.0148894109,901.5799257425,1979.2683668162,-1940.0982457361,528.3615440713,-463.6371775044
1965,1445,-1171.0694271783,444.8762062233,-1413.6637423242,1168.51853173,-271.4488922326,-150.4674256134,1352.6848157981,-1374.1423285726,846.5349353265,1374.8127731209,299.2988867968,850.0526107269,1419.2746382944,-1437.1445834812,508.2015241116,-446.9427936829
1966,1642.25,-1642.2464230576,-1.7138018739,-1642.2496025618,1160.6400327777,-508.1350838741,0.5712673835,1479.4036030033,-1517.0771497075,-3.4276018814,1642.2491057642,-1.1425346978,1161.8518738694,1561.6605902168,-1642.2499006405,712.9867052904,-628.8576820994
1967,1603,-1295.1857967187,-496.7022085012,-1567.7738494598,941.6462604855,-683.0372129798,168.0290440906,1375.8856421975,-1428.1225359818,-944.5119120361,1524.1049557265,-334.2067577865,1297.2707196702,1450.1962507484,-1594.1691379342,822.5251969361,-728.0625125777
1968,1623.75,-499.5264946294,-955.3684935263,-1483.0500344516,736.6425426001,-870.4463265438,337.9804499222,1313.4436053075,-1384.3206621023,-1545.0039947079,1312.9490104636,-661.1555473663,1447.0389859751,1370.7250837081,-1588.1855300847,954.6884089466,-848.6579799758
