Year,Mean_chattisgarh,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1881,3132.75,3131.4179913995,3132.4169801494,-1539.9286158695,3132.6667439311,-2523.6651607302,-1579.5428438531,1963.4244959998,-3132.7291859136,91.3450909426,45.6774011033,-2728.1390031533,22.8393075299,-1856.1348870749,2705.3958983729,-2441.1240875891,-11.419729638
1882,3088.75,2445.4527032904,2923.5054814202,-926.1890233295,3047.1588503257,-2239.3670483061,-1827.5133674875,2143.70083102,-3078.3346521653,1886.8327001804,996.7408201764,-2946.6167812534,505.1727460796,-2127.348534082,2490.0946677094,-2223.7183521265,-253.4409828308
1883,2486.25,700.5404531899,1990.3715437379,-236.3617516977,2359.0252556001,-1573.8405878251,-1672.3912008471,1878.9742979253,-2454.2377232285,2385.5150672223,1489.9195214435,-2474.9893302466,785.1362340007,-1924.6986430645,1839.7137641028,-1628.156826057,-397.6886475399
1884,4703,-1578.8753676166,2710.420460565,535.5513892831,4175.2434914647,-2497.5524184298,-3509.7654610955,3815.9150320575,-4569.1563302408,4430.0520960293,3843.4138375864,-4672.4076994026,2164.6133111901,-3985.0270911495,3130.4561022479,-2749.0000851432,-1114.0105160279
1885,3397.5,-2803.2518178729,1004.7283709483,1079.8769497465,2734.6453966005,-1429.4162736401,-2757.8876143494,2923.4990630472,-3227.534971534,1919.5795100991,3245.53957773,-3221.3152629642,2016.1152756853,-3082.1705609283,1984.2031540692,-1730.9417894205,-1061.142901557
1886,2007,-2006.2373053625,-27.6652140563,1019.4304255062,1409.3482386176,-609.6629268847,-1742.7056354977,1811.6601605794,-1851.5683777416,-55.3251712335,2006.8093172824,-1728.8176906638,1428.9109637432,-1912.1611113038,995.5029221477,-863.6761329164,-774.4311089744
1887,3388.75,-2686.2649187158,-1090.9964067773,2290.2982221467,1973.1336104068,-616.8368226279,-3102.0053725614,3177.2773542591,-3014.1402658773,-2065.8188083607,3208.3256385378,-2497.6310007949,2755.0626704275,-3332.1372866,1364.2540933053,-1178.3612250122,-1548.7365883575
1888,2969.5,-841.2405234502,-1777.6201106557,2417.9485474669,1330.2795441952,-170.4901502539,-2828.2528583653,2865.506035411,-2526.6772010377,-2847.8491237608,2378.6544499344,-1723.7909014154,2654.8609350201,-2964.6017200741,904.9397875817,-778.977156933,-1560.0745404487
1889,3247,1085.1993394214,-2652.041784654,2977.8813641836,982.8095759679,221.1268774715,-3179.0084766719,3197.0005800291,-2620.5144240366,-3060.2861620638,1873.4148959719,-1294.3073749494,3094.6880840217,-3239.4616688672,660.9947845846,-567.6233709894,-1917.2671053914
1890,3082.25,2540.3646295725,-2943.663019267,3020.3965840661,462.1470119802,593.4707203491,-3066.7476611011,3070.8579907817,-2337.1689808587,-1745.5121343941,913.8452229454,-614.3854958103,3047.4063073076,-3024.5756010701,308.7456001811,-264.7569884856,-2009.4542088368
