Year,Mean_gujarat,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1971,1901.5,1901.4997675264,-1901.4999418816,-950.478556131,-0.2350661017,-1538.4563419914,950.8857122485,1185.4608369454,-1344.4804334403,0.9402643709,-0.4701321998,-1646.9039936606,1901.4999854704,1117.5215137913,-1646.6689443363,1486.7363095279,-1344.6466502752
1972,1085.25,877.8734389872,-1032.1045761358,-335.3001562175,-169.817654042,-951.030222589,637.9196924241,597.8381823628,-704.7953438591,638.0484210628,-335.451496374,-1032.1537519868,1071.8813026057,522.7897074564,-877.9669860066,905.7356513957,-825.2460758916
1973,2719.25,840.6631773418,-2200.0333983245,-284.3675485615,-840.2022804379,-2528.2661638987,1819.4853813749,1288.6161324848,-1598.3742539561,2586.0405999832,-1598.1782155807,-2704.3401523893,2586.1903817096,1001.0947842163,-2020.8398030183,2394.5331539989,-2199.8909761146
1974,744.75,-229.8137806534,-437.8919669042,77.7337294798,-338.0329274998,-721.3352257095,553.4188095512,292.7505022885,-389.1674059737,708.4053844529,-602.414465149,-740.682138168,663.6160805963,185.2783167307,-498.3775513955,684.7990259264,-634.9813325033
1975,2803.25,-2266.5915850443,-867.2910992639,865.5590098201,-1647.2669468681,-2781.0907190399,2267.662767783,866.5488200012,-1272.8922762143,1649.4766288452,-2665.7112956278,-2666.2742100203,2268.1980002318,351.774039648,-1648.0036814616,2665.9526824485,-2497.5900015123
1976,2929.75,-2929.7482334007,-1.6086787216,1463.9461307367,-2071.0772602701,-2929.749929336,2536.9697711074,652.378797053,-1121.5383317622,3.2173569582,-2929.7495583501,-2537.7739830019,2072.2147679457,0.6434715158,-1465.3393610312,2856.1927399347,-2706.5821311921
1977,2664.25,-2157.6399233753,821.503468236,1781.7960341934,-2154.8687521225,-2643.3360994151,2433.6575505399,358.1652968265,-823.7472275091,-1562.9517022471,-2534.4348707703,-1980.7652448063,1566.7701566044,-333.1701187515,-1084.2227581084,2640.0654693869,-2533.7064880667
1978,1954,-607.0429849422,1147.1604088843,1580.1546202204,-1740.6417550662,-1892.7800263572,1858.189727653,88.1497649648,-456.5643495722,-1857.3138707371,-1581.81509548,-1149.4465521268,887.8526231983,-485.2831872458,-604.3566298509,1952.0106605592,-1899.9118386651
1979,1725.75,529.9141484407,1395.1187053745,1576.0701750858,-1641.0117562498,-1604.8225821982,1687.9153069918,-76.9196622694,-270.4043492179,-1642.3775624936,-1015.8035540469,-703.0048831303,534.1287095354,-634.6318162263,-359.3813836621,1724.0349265767,-1704.4337917397
1980,1942.5,1568.8024747773,1846.7139812725,1899.7317559185,-1918.4040448537,-1702.6695354174,1931.7783498466,-260.0957510501,-152.9810329285,-1145.4977281221,-602.456406201,-405.3708247454,305.0117550014,-934.9987717434,-203.8103458222,1925.008168888,-1936.4666414798
1981,2383.25,2383.2413720198,2383.247843004,2383.249041335,-2383.2494607509,-1928.8433542654,2383.2497603338,-529.4298173096,-0.8016125447,-6.4128927396,-3.2064492719,-2.1376332061,1.6032249987,-1399.801370626,-1.0688167105,2323.7006328362,-2383.2498651877
1982,1450.5,1176.0395539529,1380.1803547016,1419.1048970302,-1432.8122442412,-1057.9664211116,1442.629873381,-447.6360483717,113.2609591347,849.0472410522,446.1529317349,300.1525299328,-225.8302963569,-992.2989981857,150.8949913976,1379.7000464587,-1446.0713001564
1983,2775.5,866.4563732182,2248.1381089545,2536.7961370491,-2640.3700092414,-1770.59326674,2715.1683123132,-1089.6275300754,433.0434674201,2636.7885018161,1627.6594524244,1126.0841927017,-855.4802535993,-2137.3815133885,575.5530260628,2552.6676430162,-2741.5093662661
1984,2579.5,-788.1584920306,1519.9943124576,2088.7006828417,-2299.4179240608,-1383.7531868413,2453.7342624447,-1221.1607898021,601.0289988366,2456.1405581603,2084.0915383199,1513.6544214241,-1168.9728228269,-2176.9353155081,795.6182622998,2272.1326051642,-2508.5024202814
1985,1168.5,-942.6057032028,363.2887871979,783.0261029524,-946.0167011847,-498.3613652219,1067.7917051794,-643.1706468447,360.5355285306,690.5698648866,1110.5915122565,867.3306013829,-685.8896785049,-1056.8955481287,474.5662486419,975.5633085748,-1111.488363712
1986,1155.5,-1155.4893993672,2.4747758747,579.1782241995,-817.9363830773,-358.0104672624,1001.104561987,-719.8895142909,441.6190436078,4.9495403975,1155.4973498388,999.8664083832,-816.186451271,-1098.639501989,577.0354460246,903.8469655943,-1067.7794108911
1987,929.5,-754.4876138094,-285.1964349042,288.5870263043,-547.2111858125,-175.0112174205,752.4001232555,-641.9009075054,421.5076824847,-542.8799965076,884.6656111311,883.5653785934,-751.3522264037,-912.875305711,545.7694609678,672.2599757116,-828.4331738929
1988,2740.5,-859.6755102088,-1605.3659262413,290.9301528461,-1247.1637681427,-174.7689593044,2038.0915501855,-2062.524396181,1430.4698429895,-2602.171836591,2221.0674219536,2725.0137423809,-2440.2710475339,-2734.9215822147,1832.081625655,1804.5313422488,-2337.5406474108
1989,1972.75,599.7754333538,-1592.9453142919,-202.781962616,-612.0701323095,121.8069346742,1321.3070131028,-1595.1199747194,1158.5079216359,-1879.3647841878,1163.730118273,1962.3001906277,-1875.3966822074,-1968.9859403168,1464.8857769892,1160.7475301508,-1596.7473056207
1990,2405.75,1938.4038159353,-2285.929574887,-739.1777584202,-379.6432455053,448.1656459164,1415.8665491812,-2064.2328827659,1561.1384186909,-1424.8591891368,749.7726596488,2289.3774926728,-2375.6060423905,-2363.6371583474,1944.9819992508,1235.5467082261,-1830.4316158183
1991,1923.5,1923.4667919366,-1923.4916979662,-958.4853390382,-2.8256823903,592.2438710062,963.3809475903,-1732.3124251291,1359.1204968512,-11.3026685816,5.6513586827,1667.680456457,-1923.4979244904,-1830.0544929743,1664.857170997,836.0298509883,-1361.1185565699
1992,2287.25,1858.7167367083,-2177.4827689945,-1526.9559117897,354.3057289385,971.2988869547,932.4651878915,-2140.6911499253,1738.0877913694,1332.9233493267,-700.0581070397,1702.9146208634,-2259.6415673601,-2070.7706378787,2088.5452439127,805.5767890968,-1486.7963518898
1993,2024.5,638.1321339047,-1641.7214677116,-1635.2675441125,622.4689303965,1082.5537729467,627.6946339361,-1951.0408311396,1636.8855487767,1921.2984228584,-1184.6311123953,1193.5243228239,-1926.4300352442,-1710.7535119587,1924.7336689859,540.4071846545,-1191.3043062988
1994,3404.25,-1029.8281134055,-2010.3638610261,-3106.7759205572,1540.314397875,2166.364644975,711.5743583572,-3348.9474672477,2901.0802601329,3244.7453088555,-2747.2450216135,1391.7116949806,-3035.8441360187,-2625.9821567373,3329.050915055,611.1210388419,-1781.1938094343
1995,1544.25,-1242.8024193392,-482.4471092439,-1509.7349047062,905.4526807211,1124.1969291804,163.2481790213,-1537.8911044036,1375.3096678028,916.5970810475,-1466.9535947951,324.6668754461,-1250.945044946,-1058.7206085278,1535.5969831132,139.9964767284,-702.3043358461
1996,2139.75,-2139.6903197512,-7.9906449201,-2139.7433688338,1510.2039729838,1729.2134654477,2.6635538097,-2139.7487820302,1976.1058946438,15.9811784053,-2139.7350798858,5.3271034921,-1515.8542220424,-1260.2979224828,2139.7483422078,2.283046279,-820.6921198927
1997,3225.75,-2624.372413635,984.858809479,-3156.9898997027,2605.9903460275,2824.3225224881,-333.0186883149,-3213.0837668388,3066.8987936675,-1875.6685466925,-3071.7285342119,-662.4785548793,-1901.1252927968,-1558.4175792985,3208.5139263736,-285.5797082726,-999.7974054282
1998,2530.5,-801.4495181604,1479.081174969,-2314.4993107747,2252.3593367022,2351.2861241913,-522.7761203827,-2490.3553730843,2459.9822714326,-2400.2310138486,-2053.2289516399,-1022.9971605159,-1153.3896429093,-935.3522396326,2475.9110197981,-448.9547479984,-593.2263263187
1999,1156.75,348.1748875592,932.9581618926,-937.7360178514,1099.3793513318,1119.9222901788,-355.9103987315,-1115.4335888191,1142.3172998675,-1103.1068897315,-683.8564400939,-677.2899846625,-359.7716002763,-289.5593660386,1100.635430365,-306.3959389975,-182.1585818003
2000,1236.75,994.1580113956,1174.5372457044,-830.2222485335,1221.0977645391,1226.7249408575,-501.3846809717,-1158.4303360577,1232.8307310401,-735.6632455668,-387.3148860465,-916.6687408982,-196.1397765308,-157.1511437379,1130.5591378548,-433.1162880811,-98.3816604003
2001,1873,1872.9231048662,1872.9807761179,-941.3951350118,1872.9951940233,1872.9969241745,-934.0492257164,-1688.5652618213,1872.9987985055,-16.9718372121,-8.4860057037,-1619.2295080612,-4.2430137391,-3.3944120365,1623.4780700516,-810.479090767,-2.1215082305
2002,1492,1215.2261366509,1421.1230410987,-465.4877449439,1474.1742735035,1480.583334893,-875.0875054941,-1281.8298754681,1487.5368929992,865.6150627158,454.3933340823,-1417.5278336975,229.9439308622,184.219945818,1208.4228803396,-763.5287619714,115.3169196882
2003,2762,878.9405870653,2242.3512103899,-297.5862601848,2628.8798035567,2676.554001142,-1844.8185207995,-2236.7521002444,2728.5169980617,2618.4169729838,1612.6081511833,-2745.9217792481,847.1333888187,681.6910436341,2055.5506866325,-1620.3654038681,428.7644939686
2004,2349.75,-703.6911239273,1390.6521570925,237.811544961,2096.307464165,2186.470859374,-1743.577176421,-1771.7401847568,2285.5112695436,2241.9063014778,1894.0463670338,-2337.6849085331,1061.5178181199,860.6220097164,1575.2027464311,-1543.4577351577,545.6769184134
2005,3221.25,-2586.3377684044,1011.2395922894,984.8604655856,2610.9296332113,2826.0047053209,-2602.7805648256,-2229.5208891486,3064.8742750301,1920.2365766293,3058.4058019639,-3067.0020257291,1886.6631954111,1546.0106623191,1897.8895894826,-2325.0135843366,991.4621731357
2006,2934,-2933.8334829579,15.629475386,1457.9670434439,2080.1698104701,2377.3251974948,-2538.3096053737,-1832.8082938204,2712.1554365411,31.258507249,2933.9583704441,-2546.1123502767,2069.1180632358,1719.500190566,1471.5095471209,-2291.1066666795,1119.1822407635
2007,2780.75,-2267.4727904608,-844.776775375,1853.1141982816,1640.6488875405,2031.2520220332,-2538.2688854189,-1535.5426967947,2479.3955872882,-1609.701123507,2649.3249635118,-2073.2916655954,2245.1819058402,1899.1013099585,1135.6767268084,-2318.3354349232,1259.0345842096
2008,2345.5,-749.9398281946,-1367.9156375613,1892.3470830631,1070.7296862654,1499.1553135768,-2229.3351400501,-1114.7890945959,2001.5952049722,-2222.3772191254,1905.3023535689,-1385.7823664712,2086.841677979,1803.8579754999,728.9959419213,-2063.6413265319,1222.6965631064
2009,1433.25,427.0439376277,-1154.6138501908,1307.0732532999,446.8530304888,770.7815329351,-1401.3508309471,-565.4881440857,1160.744947964,-1368.1516867056,849.1598315085,-588.0179189515,1361.8105344148,1208.3465525197,300.7015315957,-1316.9771149866,840.7596138469
2010,2354.25,1887.9869727124,-2234.6461009529,2300.8395998878,375.2182560401,1007.4699094698,-2340.8593177011,-731.3175671251,1792.4634782587,-1406.4132583876,740.8440227173,-498.6283165726,2324.1566906804,2127.7916824758,250.7403382626,-2237.7818657131,1526.292154736
2011,2108.75,2108.5918639498,-2108.7104656169,2108.7324291326,6.4563197896,656.5498949642,-2108.7456072786,-472.8371316205,1493.3923340597,-25.824673952,12.9125790582,-8.6084159256,2108.7401163811,2003.9383218858,4.3042169289,-2055.0551353822,1488.8270212056
,,-75.0211098304,-60.5582404386,-72.9792421022,495.9242913669,102.7027660674,-386.7806204888,30.5352479151,-62.3759430225,137.9801295036,-46.1931913672,-272.3530749079,16.7987482321,-289.5786019432,549.2156388563,-190.8968858993,-416.8902154698
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,24666.6830580303,,,,,,,,,,,,,,,,
20,5801.1114136983,,,,,,,,,,,,,,,,
30,5325.9697778183,,,,,,,,,,,,,,,,
40,246223.100709926,,,,,,,,,,,,,,,,
50,94403.6248612959,,,,,,,,,,,,,,,,
60,451237.06635006,,,,,,,,,,,,,,,,
70,37374.0224112854,,,,,,,,,,,,,,,,
80,177688.210022395,,,,,,,,,,,,,,,,
