Year,Mean_southkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1964,1784.25,-555.984278204,1046.7886878722,-1630.6518128404,1589.2263493342,-113.004180516,-370.1739897936,1719.7658734792,-1734.8090927101,1695.4142694014,1444.9157433715,724.2394133021,811.1150800485,1780.6678852852,-1745.4281078808,475.3455615829,-417.1156606389
1965,1005.25,-814.6834198415,309.4891393121,-983.4501570737,812.9088263125,-188.8401376587,-104.676387265,941.0286581875,-955.9561078184,588.9129714443,956.4225191555,208.2146753997,591.3601293656,987.3535156716,-999.7851851519,353.5429634002,-310.9268120068
1966,1350.75,-1350.7470579662,-1.409601389,-1350.7496731073,954.6259852486,-417.9409131027,0.4698672055,1216.8089004456,-1247.7953782721,-2.819201243,1350.7492644914,-0.9397343541,955.6227240853,1284.4652411237,-1350.7499182768,586.4312937561,-517.2352041989
1967,1110.75,-897.4595282004,-344.1746588226,-1086.3411124688,652.4850803707,-473.2898217825,116.4306055669,953.3780268689,-989.5739905439,-654.4707462845,1056.082083327,-231.5783881543,898.9042120235,1004.8692985145,-1104.6309232442,569.9437694927,-504.4887310328
1968,1307.75,-402.313024389,-769.4430469032,-1194.4318291326,593.2836243789,-701.0476880909,272.2056556648,1057.832717377,-1114.9163023029,-1244.3288523968,1057.4343762486,-532.4872468473,1165.4289354327,1103.9665762705,-1279.106775654,768.8953144264,-683.4995986533
1969,1083.5,335.9857238017,-876.930094631,-876.3296366978,334.528393763,-690.8378098658,335.0142449494,815.8376865505,-876.4798242522,-1030.0902112929,636.3692789021,-637.1959022508,1030.5644102949,834.6947768256,-1030.4065729997,713.0084986898,-636.9892995011
1970,977,790.8762300212,-929.3048683642,-653.5438142279,152.6403347877,-712.3110890507,397.5026374122,675.0861851891,-742.8521411047,-573.6233858443,301.5318584075,-726.229635091,965.002553466,668.686707222,-892.4800576205,706.2489947369,-634.5862403616
1971,1335.5,1335.4998367244,-1335.4999591811,-667.5593540431,-0.1650963864,-1080.519823681,667.8453161756,832.5968697032,-944.2827340834,0.6603855206,-0.3301927704,-1156.6869753004,1335.4999897953,784.8803479718,-1156.5218906974,1044.1947627529,-944.399474858
1972,1129.5,913.6678639355,-1074.1876238151,-348.971689885,-176.7418016498,-989.8075433442,663.9302396619,622.2144454999,-733.5326799252,664.0642170841,-349.1292007873,-1074.2388047631,1115.5862071349,544.1059429367,-913.7652252425,942.6661306164,-858.894671937
1973,1375.5,425.2393860195,-1112.8605091093,-143.8439139639,-425.0062468483,-1278.8931170149,920.3648587225,651.8310159907,-808.5184467469,1308.1176226081,-808.4192830859,-1367.9580324029,1308.193387898,506.3917902692,-1022.2175780276,1211.2458778433,-1112.7884665425
1974,1312.5,-405.0091804063,-771.7129326106,136.9929774317,-595.7277171446,-1271.235292036,975.3100873259,515.9248529758,-685.8438675266,1248.4485627316,-1061.6569123976,-1305.3310592085,1169.5147442532,326.5227132717,-878.3088770817,1206.8462189036,-1119.0506866877
1975,1543,-1247.6057489426,-477.385237194,476.431838813,-906.7093191893,-1530.8028108369,1248.1953627715,476.9766625388,-700.6413206809,907.9256000386,-1467.2942224752,-1467.6040688705,1248.4899721244,193.6278759215,-907.1148418782,1467.4270896346,-1374.754792592
1976,790.75,-790.7495231885,-0.4341881386,395.1242948648,-558.9911574566,-790.7499809275,684.7372118792,176.0793698335,-302.70720568,0.8683761463,-790.7498807971,-684.9542715449,559.2981748453,0.1736752628,-395.5003327026,770.8966325125,-730.5161942965
1977,1266.75,-1025.8760900575,390.5937950222,847.1765511174,-1024.5585030501,-1256.8062321232,1157.112021074,170.2940376297,-391.6606176024,-743.1243572568,-1205.0278211685,-941.7788773045,744.9398877277,-158.4097768335,-515.5068701637,1255.2511713788,-1204.6815027713
1978,1382.25,-429.4192251465,811.4956372468,1117.7936150459,-1231.3214257627,-1338.9432914187,1314.4742840575,62.3567106564,-322.9713777872,-1313.8547071783,-1118.9682270866,-813.1128437448,628.0625836314,-343.2869424619,-427.518910753,1380.8427510532,-1343.9883004068
1979,1571.25,482.472899167,1270.2188995044,1434.9704549347,-1494.098057081,-1461.1487656259,1536.8025068004,-70.033330054,-246.196050244,-1495.3415877549,-924.862427522,-640.0674620417,486.3101462307,-577.8155823529,-327.2073006397,1569.6884707424,-1551.8421528442
1980,1422.75,1149.0418126071,1352.5932133104,1391.4251509565,-1405.1013409604,-1247.0903894543,1414.8971156984,-190.502563607,-112.0482700638,-838.9996873543,-441.2586110283,-296.9067392054,223.4005016362,-684.8234247093,-149.2773073454,1409.938415591,-1418.3309725433
1981,1420,1419.9948592334,1419.9987148078,1419.9994288034,-1419.9996787019,-1149.2531471968,1419.9998572009,-315.447536171,-0.4776208176,-3.8209620016,-1.9104827299,-1.2736553667,0.9552415811,-834.0366920335,-0.6368277474,1384.5189965918,-1419.9999196755
1982,940,762.1352504073,894.4291853978,919.6543283063,-928.5374075055,-685.6176737986,934.8997455899,-290.0916135604,73.3990359094,550.2270986481,289.1304762708,194.514566106,-146.3498645815,-643.0617430504,97.7878606782,894.1179204903,-937.1299704564
1983,1497.75,467.56801765,1213.1683850429,1368.9376379987,-1424.8294654446,-955.4696686218,1465.1930606259,-587.9984266512,233.6843283475,1422.8967676437,878.3379372613,607.6716265967,-461.6449467946,-1153.4005266358,310.5871175592,1377.502418421,-1479.4075493875
1984,1248.25,-381.3990454263,735.5428961137,1010.7465118655,-1112.7150314824,-669.6142335626,1187.390499359,-590.9338848112,290.8449109509,1188.5549337948,1008.5160933157,732.4749492315,-565.679521649,-1053.4442750855,385.0089148733,1099.5113488646,-1213.8934468371
1985,1014,-817.9736269129,315.2544546159,679.4937684157,-820.9336200268,-432.4676288703,926.6074360735,-558.1301120244,312.8652340009,599.2621677321,963.7482185949,752.6514589664,-595.2007993188,-917.1519775802,411.8187215429,846.5735514718,-964.5264876371
1986,1390.25,-1390.2372457552,2.9775483858,696.8433805221,-984.1073618115,-430.7434462238,1204.487769193,-866.1414082587,531.3378410868,5.9550831134,1390.2468114352,1202.9980737817,-982.0019159494,-1321.8377911209,694.2652780923,1087.4714356707,-1284.7082007714
1987,1139.25,-924.7445013797,-349.5535647817,353.7092734988,-670.6942909487,-214.5040661068,922.1859498858,-786.7515964234,516.6246662407,-665.3857299853,1084.2983297268,1082.9498198628,-920.9015857239,-1118.8737945468,668.9272279802,823.9614602791,-1015.3765393841
1988,1673.5,-524.96514006,-980.3247135795,177.6579495668,-761.5867783203,-106.7235370903,1244.5707751269,-1259.4908144532,873.5235476165,-1589.0292167616,1356.3059042654,1664.043239509,-1490.1636920445,-1670.0935113433,1118.76978673,1101.9460686931,-1427.4308605882
1989,1522.25,462.8098610685,-1229.1780533168,-156.4743847888,-472.296925058,93.9909295692,1019.571461511,-1230.8561051915,893.9494024637,-1450.1903650893,897.9790508382,1514.1865239808,-1447.1284245294,-1519.3455063476,1130.3623743616,895.677570788,-1232.1118164902
1990,936,754.1706211017,-889.3817238259,-287.5903073392,-147.7069844302,174.3668480007,550.8681658666,-803.1266666399,607.3887810017,-554.3669130342,291.7124428687,890.7231978143,-924.2719549735,-919.6152468931,756.7299807955,480.7115115451,-712.162108451
1991,1446.5,1446.4750270529,-1446.4937567498,-720.7949274337,-2.1249542904,445.3760121708,724.4764963293,-1302.7241606182,1022.078398074,-8.499771304,4.2499039951,1254.1199793424,-1446.4984391866,-1376.2276184494,1251.9968275784,628.7066178605,-1023.5809680678
1992,1472.75,1196.819356864,-1402.0713730623,-983.2000520662,228.1358672179,625.4149899497,600.4101455753,-1378.3814148224,1119.146920861,858.2633567476,-450.7642702558,1096.4990743804,-1454.9730542483,-1333.3599112191,1344.8049001957,518.7072756115,-957.3414918551
1993,1326,417.9615754792,-1075.2890423243,-1071.0618737926,407.7025446806,709.0473217719,411.1252578904,-1277.8859679383,1072.1216288851,1258.4053883479,-775.9055841127,781.7304282858,-1261.7664740597,-1120.5034116361,1260.6553939616,353.9540266001,-780.2763695491
1994,1111,-336.0913663783,-656.0958359697,-1013.9173232692,502.6920161678,707.0077463662,232.2271020445,-1092.9516445949,946.7871540009,1058.9445658041,-896.5819839943,454.1945195339,-990.7682558909,-857.0070283132,1086.4582702875,199.443482163,-581.3046404587
1995,1068.75,-860.1230925489,-333.8937011523,-1044.8626708141,626.6488926798,778.0381855668,112.9813769331,-1064.3491130525,951.8291775711,634.3617486608,-1015.2544305891,224.6965990824,-865.7584696688,-732.7231020651,1062.7613894785,96.8892565993,-486.0532678876
1996,1504.5,-1504.4580376519,-5.6183784471,-1504.4953374976,1061.8538975835,1215.8437475247,1.872796685,-1504.4991436217,1389.4386346497,11.2366785422,-1504.4895093764,3.745590468,-1065.8266980081,-886.1400744832,1504.498834374,1.6052544114,-577.0446521222
1997,1203.25,-978.9277243141,367.3661512844,-1177.6015180399,972.0709552376,1053.5119197656,-124.2206422429,-1198.5253173522,1143.9962717137,-699.6506793173,-1145.7978326871,-247.1137940506,-709.1464027149,-581.3116181635,1196.8207027541,-106.5252372251,-372.9384571283
1998,1699.75,-538.3378061621,993.5065114221,-1554.6612145779,1512.9214710767,1579.3711083162,-351.1514367202,-1672.7846454851,1652.3828752687,-1612.2476450461,-1379.1645566291,-687.1525088271,-774.7378168485,-628.280960014,1663.0822983212,-301.5652372694,-398.4732061491
1999,1092,328.6855216897,880.7350877776,-885.2454994543,1037.8407189577,1057.2337504865,-335.9880314802,-1052.9963077506,1078.3751817206,-1041.3596054349,-645.5770327059,-639.3781398327,-339.6330992018,-273.3510505417,1039.0264879694,-289.2451829568,-171.9621105044
2000,1248.5,1003.6032158702,1185.6961805231,-838.1099472764,1232.6990572283,1238.379695703,-506.1481901703,-1169.4362438392,1244.5434952121,-742.652566881,-390.994651489,-925.3777424794,-198.0032431767,-158.6441907877,1141.3002495344,-437.2311992475,-99.3163557791
2001,994,993.9591917977,993.9897978971,-499.5978452759,993.997449471,993.9983676612,-495.699375527,-896.1205927658,993.9993623675,-9.006944041,-4.5035182432,-859.3241489657,-2.2517648995,-1.8014124743,861.5788583189,-430.1207774812,-1.125883172
2002,717.5,584.3999685302,683.4154034774,-223.852182974,708.9276415809,712.0097471754,-420.8279391367,-616.4295815337,715.3537002191,416.2726591814,218.5169016113,-681.6864749852,110.5796048215,88.5910262228,581.1282953376,-367.1795487362,55.4556902656
2003,704.25,224.1107561335,571.7508471822,-75.8780317651,670.3072417288,682.4631264679,-470.3886470938,-570.3231957267,695.71256187,667.6394472208,411.1800472378,-700.1504029817,216.0006115408,173.8164074871,524.1207715644,-413.1579781586,109.3256317442
2004,1284.5,-384.6754968335,760.2054243155,130.0006083636,1145.9546495244,1195.2428210941,-953.1332623099,-968.5286806341,1249.3836475067,1225.5468216824,1035.3878320906,-1277.9045707036,580.2828545058,470.4623774787,861.0907236049,-843.7371894074,298.2964152365
2005,1849,-1484.5598863112,580.4523107934,565.3106715926,1498.675635796,1622.1288941058,-1493.9980642181,-1279.7467206941,1759.2402125046,1102.2172852736,1755.5273039445,-1760.4615430573,1082.9461383982,887.4113200242,1089.390097308,-1334.5596018435,569.10005685
2006,1094.25,-1094.1878966348,5.8290911524,543.7561135953,775.8097529335,886.6353433397,-946.6752848262,-683.5550359622,1011.5119585669,11.6580168907,1094.2344740486,-949.5853576313,771.6879484307,641.2962111544,548.8068581926,-854.4797102979,417.4046240475
2007,1566.5,-1277.3518389848,-475.8942079025,1043.9282177859,924.2385983394,1144.2798858276,-1429.9013607871,-865.0283680766,1396.7358401464,-906.8045706999,1492.4633841019,-1167.962382147,1264.7945538069,1069.8344698553,639.7689805072,-1306.0046601842,709.2610540913
2008,1494,-477.6849726381,-871.3135632132,1205.3577241937,682.0166920829,954.9085646914,-1420.0071196909,-710.0809666707,1274.9448886073,-1415.5751717644,1213.6097702972,-882.6940334717,1329.2438571309,1148.9933128957,464.3444626862,-1314.4660591936,778.8141825969
2009,1600.5,476.8769036617,-1289.3490090566,1459.5993315238,498.9975756479,860.7262120792,-1564.8784266044,-631.4765565039,1296.195561986,-1527.8051802354,948.2506962005,-656.6353945801,1520.724060932,1349.3519325364,335.7912445972,-1470.6589028684,938.8702333591
2010,1393.75,1117.7155540906,-1322.9427644486,1362.1302717824,222.1346264653,596.4367362529,-1385.8225226913,-432.950561402,1061.1642658269,-832.6169603388,438.5903606933,-295.1951645845,1375.9343262762,1259.6834055222,148.4419014351,-1324.7991824732,903.5869982641
2011,1203,1202.9097865236,-1202.9774464195,1202.989976169,3.6832022321,374.5486774828,-1202.9974940397,-269.7441941147,851.9506711909,-14.7324636701,7.3663699381,-4.9109303419,1202.9943615917,1143.2070189585,2.4554702859,-1172.368145994,849.3462508644
,,-13.8929202137,-27.3591886938,-43.8948574565,205.0814912807,85.8616318855,-177.0636937155,23.0306095479,-1.4905690029,-43.4633601268,-5.3521465331,-100.5677766246,10.3743933091,-144.0404967517,223.6153001476,13.8143724606,-346.0562634595
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,2082.0769055761,,,,,,,,,,,,,,,,
20,777.1706784961,,,,,,,,,,,,,,,,
30,1926.758511123,,,,,,,,,,,,,,,,
40,42166.0461024598,,,,,,,,,,,,,,,,
50,28119.8845345043,,,,,,,,,,,,,,,,
60,81355.3540922588,,,,,,,,,,,,,,,,
70,721.2458626298,,,,,,,,,,,,,,,,
80,119757.159275513,,,,,,,,,,,,,,,,
