Year,Mean_kerala,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1926,5561.5,-5560.8885785157,-41.2336063485,2756.9096766912,3917.9689603348,-5561.4755427104,4809.5132506792,-5561.4875217866,5134.2023052711,-82.4649460909,5561.3471425283,4830.0860535364,3947.1257233402,-16.4935694708,2792.6447216825,-11.7811295091,2137.8140561212
1927,5319.25,-4257.546122986,-1680.3970286523,1619.2515427644,3110.9458905485,-5275.3492263258,4295.7900513962,-5296.8365266003,4735.0987049269,-3188.6864965291,5046.8491545316,5066.7982990993,4314.6768394144,-681.9905445123,3136.9744016847,-487.7943962085,2423.4811361139
1928,3857.75,-1139.9249906834,-2289.6167178909,385.0913666577,1739.1759785968,-3733.8136623799,2860.7535093244,-3794.350089935,3285.6917988402,-3685.4858673064,3104.8172808806,3838.4814317417,3443.4723721807,-969.9848437604,2588.112134624,-696.5216848815,2021.5005479925
1929,5759.25,1855.5187915592,-4682.6999243379,-628.4853880977,1760.6988702298,-5348.9122292442,3843.784339105,-5548.6557065973,4653.4538533691,-5452.1565069861,3352.8021088496,5724.8551666787,5483.5116532083,-2134.9703806708,4288.8556185713,-1543.1721913466,3393.2768524045
1930,4025.5,3288.4688766759,-3836.8204097312,-1261.2325320017,616.2506351426,-3522.3024375206,2358.766488276,-3766.0675612373,3056.580375335,-2321.7714566972,1217.9734781474,3822.8186917798,3978.0504527578,-1948.8549942561,3262.0347796715,-1421.7543297617,2619.5355808076
1931,5902.5,5901.9829953719,-5902.3707474278,-2973.7736035879,-19.5309153321,-4766.0220852124,2939.9666286221,-5313.1168610109,4166.7868329357,78.1215229029,-39.0616168203,5098.6446046576,5902.4676867685,-3482.0309782177,5118.2128201735,-2571.0494882912,4180.5972945112
1932,3928,3147.7310136673,-3727.8325754844,-2640.8893525925,-626.9998578538,-2856.4326152328,1589.9324864623,-3368.2634306801,2546.2058595438,2349.6751829981,-1237.9209543252,2907.7289122894,3877.6352559584,-2696.289434507,3591.8377870516,-2020.8872956064,2990.9897560548
1933,5758.25,1710.2621869381,-4637.109029365,-4672.6948475618,-1796.6371356174,-3659.2554883993,1767.8939386354,-4652.4229113289,3377.2738470793,5498.4039788315,-3413.8926333852,3365.0209396183,5470.7895285252,-4446.0423224616,5480.1454437119,-3392.9933858824,4663.8465266703
1934,3839.5,-1231.2220301963,-2237.6866698738,-3513.9208613961,-1753.5909273573,-2049.3388496097,790.5887371667,-2886.9818036927,2001.1056799194,3636.7365263873,-3120.0190091519,1547.2945517403,3415.6520767622,-3246.8400837554,3757.2236689696,-2531.2242719972,3276.7874981137
1935,3911.75,-3191.9480904518,-1186.5254147458,-3829.4812357942,-2308.722295055,-1657.0698774915,401.1326703112,-2698.4289273847,1770.6839956382,2261.2508596707,-3727.4583166901,798.0360437975,3157.7823590007,-3543.43159714,3891.1284537148,-2832.0080131161,3488.0461938012
1936,4636.25,-4635.935756523,26.9899177515,-4636.2150837075,-3287.8523437554,-1422.408532289,-8.9966844208,-2884.6215447672,1767.9802931261,-53.9789208114,-4636.1714384651,-17.9933349639,3268.767509041,-4412.6599721451,4636.2412709187,-3629.569203909,4285.9141085208
1937,4729,-3794.1186428103,1486.7841030477,-4621.9155759058,-3833.6955423789,-875.6029490038,-503.190938681,-2598.8034920377,1454.9733296679,-2822.7831521886,-4489.1997094053,-1000.6684811661,2768.7938688794,-4647.231485056,4702.1526856568,-3950.9064035703,4499.6103842394
1938,4398,-1312.940053077,2604.6202838962,-4011.18328728,-3924.1256356401,-266.4902696764,-922.2851789285,-2077.98256333,1020.8083694932,-4197.450704538,-3543.777247051,-1803.5555538562,1985.8605176881,-4389.9187846893,4300.2086052573,-3876.1311209112,4277.8913348486
1939,4667,1489.5362385126,3790.287233518,-3765.8857751275,-4442.418233284,302.998676078,-1450.086219416,-1827.6936033023,723.9209574476,-4422.9142874532,-2722.9784588628,-2756.6271653404,1430.3178809572,-4657.1537232837,4436.004841776,-4294.2316067543,4610.5127098153
1940,5322.25,4337.9962146004,5070.2191972171,-3547.588708729,-5258.8648577848,1008.1297657993,-2173.1533606107,-1637.1660280452,410.7015784939,-3083.5262127332,-1618.4011723524,-3967.4877966036,818.9538876248,-5225.8989119394,4858.369019925,-5064.1911949604,5306.3800538524
1941,4664.25,4664.0144324413,4664.1911077385,-2318.5795372914,-4664.2352769114,1450.2462498059,-2338.8879254561,-1031.3632998128,-5.8596999083,46.8768224116,23.4387071501,-4047.1492425847,-11.7193905683,-4433.0592007579,4035.4468568742,-4548.7930054355,4664.2463192264
1942,4860.5,3904.2380401338,4615.246973027,-1486.9736675183,-4798.7950655554,2078.0563082458,-2863.3044493231,-645.7439182703,-387.2446473923,2895.0622749731,1524.4525666497,-4627.4582182995,-772.0273109166,-4393.8755364439,3927.5880487249,-4817.4137295874,4845.0492085289
1943,4984.5,1495.6032711008,4018.7109099064,-505.4649909127,-4736.9032489818,2678.7472336139,-3341.0888945668,-216.9323216082,-785.5399434307,4754.8302919739,2948.7629393695,-4958.8048351353,-1551.447021263,-4203.5168024412,3698.9681329531,-4979.7771654806,4922.2116215452
1944,3434.75,-1091.0613140657,2006.2383599678,369.3832363396,-3056.8312653301,2194.2023468136,-2555.9975189266,158.5574819888,-805.6228565239,3256.8532007828,2787.9230989203,-3414.8299499699,-1566.2982403745,-2642.5335615159,2294.424600143,-3431.0883240461,3338.9338681002
1945,4229.25,-3443.2199596857,1289.2473672649,1318.6713343715,-3416.0726712488,3088.0674964018,-3425.167609285,572.9600464262,-1311.3218936671,2455.7670638157,4027.9519347307,-4018.4152939196,-2493.3918799995,-2889.7049503655,2480.8833932301,-4190.2592220171,4020.819624615
1946,6112.5,-6112.2813767521,-25.8489323056,3071.1617669365,-4313.0415399856,4951.1867669741,-5297.8831881422,1367.3584772909,-2345.1215146382,-51.6974023451,6112.4453439437,-5284.9429184531,-4331.3195361644,-3584.4673033159,3048.7849997664,-5957.5991006932,5644.7374900504
1947,6089.25,-4897.012205926,-1905.2341047185,4086.7657231498,-3569.1398676952,5340.8186916688,-5566.1613227695,1888.4141791162,-2769.9802005734,-3619.148659217,5783.5152432338,-4514.1235568588,-4933.5794477568,-2924.8284163727,2469.1726734688,-5789.0290594031,5422.7460986968
1948,5245.5,-1581.8838602459,-3099.7982564257,4251.7218727854,-2372.2645821998,4880.1569366046,-4990.8755411098,2067.0004004443,-2745.1371900209,-5001.2912035487,4231.6097432845,-3072.1541898931,-4678.4218495173,-1923.3664560115,1614.4446671076,-4821.0766011922,4469.8425093021
1949,5170.75,1634.697507635,-4194.5957910211,4728.9597485043,-1588.6235199187,5010.2251678259,-5059.0969639887,2455.1349621633,-3043.2121596169,-4905.5498795784,3023.5776345992,-2091.3142421755,-4920.6636619933,-1278.3971723154,1068.7345186999,-4550.710700546,4180.3726286134
1950,5579,4536.9460999395,-5312.1023753107,5459.8473420659,-862.8504644902,5536.0068135807,-5549.1318835195,3078.2308673107,-3627.0785943104,-3246.7462306506,1704.9367595951,-1146.8687812197,-5511.871739793,-691.2811005578,576.5208923424,-4652.9276512252,4239.0496423957
1951,4319.25,4319.1482181422,-4319.2245544606,4319.2386908652,7.4130171336,4319.2459287103,-4319.2471727154,2696.3188784817,-3056.7907384015,29.6518501771,-14.8260124315,9.8840190707,-4319.2436386105,5.930414755,-4.9420127703,-3374.2828968602,3051.5489417872
1952,3580,2882.4431175252,-3401.1429226615,3500.1358184066,565.8216754738,3551.1801065398,-3559.9779655144,2476.4231924216,-2724.1550615004,2123.1866790822,-1117.4197150713,751.9635979936,-3535.0029464718,453.3429727217,-378.0963965079,-2585.290732594,2322.7955572762
1953,4229.5,1281.9099469446,-3413.9792303558,3860.2608398145,1313.248852124,4095.3091299122,-4136.1602647864,3187.5903738546,-3423.6717329542,4030.5554378925,-2496.6810098006,1728.3103015937,-4020.4536687288,1056.9358450056,-883.6563325198,-2779.9168797843,2483.3731324493
1954,5018.75,-1579.0585561138,-2937.9373235319,4054.4352547808,2285.0687757729,4664.1288870862,-4771.5850876533,4062.742984249,-4281.1237123511,4763.8666688798,-4068.9526718184,2957.9395408444,-4468.367962969,1853.0389329824,-1555.5794141684,-2946.5184551324,2619.1279697726
1955,4435.75,-3603.118147101,-1358.9236073998,2961.9475619502,2612.2818254331,3884.6854111281,-4050.5763145768,3809.6801632496,-3953.68860494,2587.1640227345,-4222.4642913531,3301.9304509268,-3584.9493339532,2141.2840351221,-1807.9572954829,-2272.0508612799,2011.0257277488
1956,3806.75,-3806.6970887892,10.0354310252,1897.5780979499,2695.3244646568,3077.3642574518,-3295.068359448,3431.0063264202,-3517.9377459197,-20.0707923075,-3806.7367721743,3300.08226029,-2688.2283371623,2240.7978020023,-1906.2712475051,-1649.1031352116,1454.4619549283
1957,5136.75,-4140.7097270242,1599.4389441627,1579.2736985935,4159.4542045158,3741.0438219199,-4153.2237318588,4810.4806165254,-4886.3215688054,-3039.8558385271,-4881.3927957496,4887.95408606,-3014.1568112884,3520.0556366306,-3022.7360446498,-1801.52069112,1584.3175466828
1958,4360.75,-1328.307026515,2571.3542829241,449.1209474482,3887.7483040805,2776.5304760552,-3238.413557136,4204.3683521572,-4240.8512694693,-4153.5215186406,-3521.9707145557,4337.5604822369,-1975.235096544,3362.5911256109,-2920.4140452096,-1157.3363045715,1015.539793775
1959,5871.25,1838.4038899562,4757.3787636368,-622.114263712,5585.8453535925,3141.6919439795,-3925.4928475085,5777.5420104393,-5799.459935838,-5576.0064293268,-3440.7737301074,5838.1975305214,-1808.2887624073,4959.9746261079,-4366.0144831024,-1044.7893950979,915.3365583816
1960,4669.25,3788.4458411209,4443.5963085183,-1448.7947970074,4612.4916057403,1984.69084746,-2741.9984004895,4650.6912838436,-4655.0387749514,-2729.3907143158,-1433.9970046772,4438.7936647995,-725.8214308462,4226.4521531077,-3779.3306727797,-415.8919870371,364.0186344113
1961,7357.75,7357.7001848695,7357.7375462068,-3686.6881084948,7357.7468865511,2268.5192049012,-3674.9663693851,7357.7489833636,-7357.7492216377,27.0749343791,13.5374901032,6367.4811231116,6.7687479158,6999.3075142827,-6374.2534658099,3.8678563193,-3.3843743159
1962,4871.75,3931.6811779168,4630.7729290593,-3263.8913733629,4811.128561972,909.6576776535,-1979.0256774887,4851.9275125116,-4856.5709937304,2876.7744398397,1513.2382964993,3616.7611429824,766.1527410887,4786.0705147319,-4451.6744524213,439.030153672,-384.2736594624
1963,4554.75,1394.3080812417,3680.7928694465,-3687.5836079287,4330.7527570049,283.2287593707,-1405.298211108,4481.1993562013,-4498.4021431208,4336.0872381773,2682.8178124375,2673.4761448413,1410.7898922924,4545.9354408488,-4332.5378821606,815.2299629438,-714.2308599227
1964,4597.5,-1432.6118643929,2697.2739204105,-4201.7215690256,4094.9800426307,-291.1793302072,-953.8320964418,4431.342919053,-4470.104976172,4368.5958265787,3723.1330419787,1866.1570422624,2090.0106938617,4588.2699187886,-4497.4671295961,1224.8290426662,-1074.7873054715
1965,3660.5,-2966.5741440735,1126.968410298,-3581.11842822,2960.1121698253,-687.6392180051,-381.1667899363,3426.6455143452,-3481.0020717924,2144.4575299396,3482.7004539855,758.1893253424,2153.3685685577,3595.3320508489,-3640.6005175314,1287.3852449901,-1132.2035268349
1966,3512.25,-3512.2423500587,-3.6652766823,-3512.2491500063,2482.2395829646,-1086.7391982566,1.2217590912,3163.9733929964,-3244.5451174061,-7.3305493731,3512.2480875142,-2.4435180346,2484.8313253144,3339.8949051539,-3512.2497875016,1524.8516094725,-1344.926408253
1967,5026.75,-4061.4942006586,-1557.5781825224,-4916.2864614921,2952.851116591,-2141.8947662797,526.9120382923,4314.5559275835,-4478.3624190559,-2961.8373386323,4779.3478391754,-1048.018602435,4068.0321834699,4547.5820358388,-4999.0578378733,2579.3066336235,-2283.0868590766
1968,6522.75,-2006.6429209201,-3837.8012878515,-5957.5455656468,2959.159442491,-3496.6612942038,1357.6979089947,5276.2212634452,-5560.940784436,-6206.4202041452,5274.2344314095,-2655.9213835771,5812.8859404272,5506.3261214822,-6379.8843210838,3835.06932684,-3409.1355435794
