Year,Mean_vidarbha,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1882,2326,1841.5614691553,2201.5617158344,-697.4716853952,2294.6795583513,-1686.3675449162,-1376.2188887984,1614.3255792643,-2318.1566656209,1420.8896351662,750.6011000341,-2218.9658059718,380.4230861615,-1602.0113930473,1875.1793434535,-1674.5832090801,-190.8551116356
1883,3428.5,966.0343665205,2744.6913374381,-325.9391717227,3253.059060362,-2170.3016411698,-2306.2014005447,2591.076271669,-3384.3555692666,3289.5880977261,2054.5757985999,-3412.9717119157,1082.6906297723,-2654.129430969,2536.9366074314,-2245.2028871338,-548.406446693
1884,3182,-1068.2503550406,1833.8417830147,362.3483990429,2824.9255347312,-1689.8175197626,-2374.6701461208,2581.8077040202,-3091.4427903096,2997.3263384149,2600.4131046566,-3161.3015733573,1464.5544452917,-2696.2271324767,2118.0334504258,-1859.9443484852,-753.727718903
1885,2227.75,-1838.099849085,658.8031282944,708.0782560111,1793.1144318696,-937.2721423405,-1808.3544173265,1916.9462951298,-2116.3034680898,1258.6735110002,2128.1091373916,-2112.2251882468,1321.9722753224,-2020.9876282878,1301.0474102951,-1134.9832439681,-695.7942896081
1886,2211,-2210.1597818418,-30.4772238557,1123.0496615816,1552.6003764741,-671.6316548789,-1919.8416343226,1995.8049900553,-2039.769647826,-60.9486565009,2210.7899354815,-1904.5420598195,1574.151540028,-2106.5212840521,1096.690065206,-951.4638414938,-853.1475744605
1887,3326,-2636.5229419842,-1070.794260108,2247.8884210579,1936.5967947511,-605.414761213,-3044.565066511,3118.4432254565,-2958.326971393,-2027.5657267746,3148.9165839253,-2451.3819870583,2704.0467552466,-3270.4355928386,1338.991992426,-1156.5413306944,-1520.0583970127
1888,2250.5,-637.5523818907,-1347.2079673449,1832.4947654738,1008.1812137435,-129.2096592512,-2143.4527892747,2171.6859177277,-1914.8971345127,-2158.3042441569,1802.7148811508,-1306.4123332667,2012.0439583306,-2246.7877322872,685.8282512048,-590.3647387364,-1182.336337188
1889,2491.5,832.6991543481,-2034.9744707316,2284.9988970937,754.1330639126,169.6758901202,-2439.3284938799,2453.1342609001,-2010.7827802548,-2348.2300501331,1437.5156185137,-993.152702398,2374.6274596058,-2485.7156599885,507.1969528157,-435.5508558116,-1471.1644573707
1890,2645.25,2180.192890381,-2526.3118182224,2592.1661331822,396.6240192848,509.3287121432,-2631.9455756436,2635.4731446558,-2005.8062281179,-1498.0342196467,784.2806637996,-527.2782002732,2615.3464301745,-2595.7526510603,264.9717897247,-227.2198633439,-1724.5547070892
1891,2980.5,2979.4944335077,-2980.2485977742,2980.3882648047,-19.3559336391,935.7396282978,-2980.4720660703,2980.4794771044,-2100.6772586226,77.4155714078,-38.7110509427,25.8077704232,2980.4371487809,-2829.8006286721,-12.9040061509,11.0605858682,-2114.3640427102
