Year,Mean_nwest,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1959,1825.5,571.5999661256,1479.1730777976,-193.428927129,1736.7614550536,976.8207185411,-1220.5215572709,1796.3641371185,-1803.1788993608,-1733.7023183711,-1069.8117852776,1815.2232645462,-562.2365145028,1542.1645612025,-1357.4893657915,-324.8478672772,284.5981498532
1960,1072.5,870.1843260914,1020.668638622,-332.7798725257,1059.4629217019,455.8721280507,-629.821338443,1068.2371691219,-1069.235762946,-626.9254250905,-329.3809043243,1019.5654988483,-166.7170283413,970.7918689742,-868.0906240951,-95.5280090158,83.6129968209
1961,1609.75,1609.7391013005,1609.7472753228,-806.5843746593,1609.7493188306,496.3132465889,-804.0198583966,1609.7497775773,-1609.7498297076,5.9235330932,2.9617715597,1393.0960875171,1.4808864065,1531.3289077662,-1394.5777604006,0.8462208841,-0.7404432816
1962,1195.5,964.8124079026,1136.3655845826,-800.9405525438,1180.623840681,223.2248686067,-485.6417503849,1190.6356732607,-1191.7751573879,705.9442382775,371.340151581,887.5328057547,188.009565756,1174.4747370785,-1092.4158275506,107.7355259845,-94.2985908323
1963,1133,346.8359528068,915.6020244981,-917.2912295479,1077.2803938057,70.453523106,-349.5697619376,1114.7041814756,-1118.9833971471,1078.6073529513,667.3544281227,665.0306761305,350.9358247911,1130.8073669206,-1077.7244460153,202.7895160031,-177.6658574658
1964,1422.25,-443.1826479897,834.4095341607,-1299.8147909835,1266.7939892619,-90.0771728955,-295.0707339128,1370.8488236266,-1382.8399787625,1351.4378280264,1151.7620378367,577.3011100288,646.5508883839,1419.3946475252,-1391.304540526,378.9044276089,-332.4885797079
1965,907.5,-735.4640174148,279.3945724205,-887.81996274,733.8619844602,-170.4774184783,-94.4977084735,849.5235088835,-862.9994208856,531.6473728781,863.4204786209,187.9679859987,533.8565704046,891.3437607281,-902.5665809752,319.1646250044,-280.6924465517
1966,1024,-1023.997769652,-1.0686150823,-1023.9997521835,723.6994328296,-316.8399000683,0.3562050849,922.4596069267,-945.9503737558,-2.1372290008,1023.9994424128,-0.7124101267,724.4550579036,973.7496997302,-1023.9999380459,444.5720117018,-392.1146393483
1967,1395.25,-1127.3287478926,-432.32923045,-1364.5891849399,819.6082002136,-594.5150788584,146.2523541906,1197.5698329857,-1243.0367862312,-822.102461178,1326.5798125249,-290.8933117914,1129.1434632688,1262.2497310398,-1387.5636242687,715.9253156738,-633.7050659226
1968,855,-263.0301172644,-503.0577748822,-780.9131821131,387.8856806301,-458.3412527759,177.9666110445,691.6054087993,-728.9263532548,-813.5355907469,691.3449754866,-348.1373321005,761.9512443471,721.7674805668,-836.2732121462,502.6996702998,-446.8684051605
1969,913.75,283.3474435845,-739.5430308898,-739.0366456231,282.1184308269,-582.6054903229,282.52816458,688.0218607157,-739.1633035629,-868.7078270133,536.6704463284,-537.3675640809,869.1077341088,703.924644508,-868.9746248994,601.3027371277,-537.1933294131
1970,1603.5,1298.024600654,-1525.2204262251,-1072.6279489401,250.5207541782,-1169.0796635546,652.4006950772,1107.9843377182,-1219.2051261631,-941.4586481078,494.8887768233,-1191.9234594354,1583.8092062259,1097.4812026924,-1464.7817527068,1159.130259018,-1041.5138550867
1971,1365,1364.9998331178,-1364.9999582795,-682.3051428445,-0.1687432179,-1104.3875397414,682.5974216246,850.9881895506,-965.1410947389,0.6749728458,-0.3374864332,-1182.2371555859,1364.9999895699,802.2176525507,-1182.0684244118,1067.2600907208,-965.2604142128
1972,776.5,628.121377907,-738.4742717065,-239.908381758,-121.5050986995,-680.4653009356,456.433670737,427.7552164061,-504.2834227197,456.525776508,-240.0166661455,-738.5094571921,766.9346523597,374.0577819303,-628.1883111119,648.0568839519,-590.4663238239
