Year,Mean_orissa,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1956,3957.5,-3957.4449934677,10.4328412116,1972.7235365172,2802.0612251604,3199.2300647181,-3425.5554035636,3566.876610444,-3657.2505758132,-20.8656099184,-3957.486248343,3430.7678584351,-2794.6840859841,2329.5349842842,-1981.7609409605,-1714.4087890195,1512.0596799445
1957,2624.25,-2115.3954350792,817.1173697803,806.8153995297,2124.9715668858,1911.2151164984,-2121.7885585887,2457.5663129249,-2496.311749051,-1552.9939522567,-2493.7937497923,2497.1457653853,-1539.8648974592,1798.3172247876,-1544.2478347539,-920.3563875353,809.3921880337
1958,2915.75,-888.1525454477,1719.2974260015,300.2979768439,2599.4845193195,1856.4854063081,-2165.3165921503,2811.187759629,-2835.5815144081,-2777.1897879898,-2354.9128271434,2900.244677196,-1320.7112842397,2248.3460584762,-1952.6909940538,-773.8355397705,679.0254322535
1959,2903.25,909.0646955104,2352.4564437775,-307.6266955285,2762.1214431028,1553.5221863076,-1941.1006360705,2856.9127258774,-2867.7508296737,-2757.2562343527,-1701.413895156,2886.9060217988,-894.1731913066,2452.6372294227,-2158.9323479782,-516.6335637757,452.6209688093
1960,3067.75,2489.0517168922,2919.4929754151,-951.8745491287,3030.4590937538,1303.964308464,-1801.5239263482,3055.5567138215,-3058.4130645944,-1793.2405340991,-942.1522323924,2916.3375842349,-476.8728799011,2776.8268121639,-2483.062948315,-273.2457339472,239.1643552423
1961,3202.75,3202.7283160057,3202.7445789968,-1604.7759626899,3202.7486447489,987.4621838874,-1599.6736148344,3202.749557469,-3202.7496611872,11.7854297961,5.8927248721,2771.6965331855,2.9463636828,3046.7238138519,-2774.6444616388,1.6836365501,-1.4731819973
1962,2833,2286.3350494254,2692.8680059578,-1898.0046719838,2797.7476709738,528.9803870872,-1150.8348631037,2821.4729086972,-2824.1731667754,1672.8900268006,879.9721032447,2103.2040474304,445.5299872745,2783.1760185222,-2588.7193972822,255.3030072053,-223.4612361588
1963,2989.5,915.1509981606,2415.8801873232,-2420.3372733746,2842.47990934,185.8965642766,-922.3643453773,2941.225199048,-2952.51620986,2845.9811841552,1760.8614853246,1754.7301026408,925.9687980697,2983.7145837681,-2843.651572253,535.0743672475,-468.7838313275
1964,3139,-978.1334730461,1841.5971367414,-2868.7773801351,2795.8982825052,-198.8062898359,-651.240663563,3025.5541974785,-3052.0194714962,2982.7128438566,2542.0151427452,1274.1418065604,1426.9806564507,3132.6980478689,-3070.7013202397,836.2671810613,-733.8243288472
1965,2469.5,-2001.3535989044,760.2918970717,-2415.9464440621,1996.9941274098,-463.905217556,-257.1483097248,2311.7336696286,-2348.4044847128,1446.7252752864,2349.550272126,511.5007618995,1452.7369703738,2425.5354458602,-2456.0751203507,868.514646224,-763.8236878893
1966,2591.75,-2591.7443549761,-2.7046710347,-2591.7493727749,1831.6875049181,-801.9236435565,0.901557157,2334.7506701683,-2394.2059386539,-5.4093391238,2591.7485887436,-1.8031142049,1833.5999964079,2464.5661955819,-2591.7498431937,1125.2143665315,-992.4444497373
1967,2908.25,-2349.7966895241,-901.144228243,-2844.3407970626,1708.3859869351,-1239.2033528687,304.8474531981,2496.2067491709,-2590.9777699745,-1713.5850082215,2765.1143091027,-606.3361218544,2353.5792704186,2631.0251068241,-2892.2285685572,1492.2700586334,-1320.8907063032
1968,2605.25,-801.4727637464,-1532.8552842245,-2379.5018335673,1181.9171572649,-1396.6006418649,542.277793478,2107.3742588005,-2221.0940138212,-2478.9047927407,2106.5806986976,-1060.800917491,2321.7233676437,2199.2803844991,-2548.1880537356,1531.7641123376,-1361.6420029758
1969,2869.5,889.8117530678,-2322.4281555549,-2320.8379257077,885.9522158772,-1829.5884590769,887.238925595,2160.6333563051,-2321.2356766881,-2728.0515563498,1685.3360828885,-1687.5252805801,2729.3074068676,2210.5737536696,-2728.8893966061,1888.3044642275,-1686.9781217521
1970,2233.5,1808.0062024077,-2124.4651212808,-1494.0533358016,348.9479915541,-1628.4000178043,908.7227642376,1543.3009156805,-1698.2193010822,-1311.3488559706,689.3259014872,-1660.2189252566,2206.0728793923,1528.6711981375,-2040.2806639667,1614.5415862281,-1450.7148084417
1971,2819,2818.9996553547,-2818.9999138387,-1409.097580717,-0.3484887408,-2280.7827652242,1409.701195282,1757.462055929,-1993.2108029809,1.3939549101,-0.6969774764,-2441.5579059317,2818.9999784597,1656.7410714582,-2441.2094420636,2204.1071031077,-1993.4572217332
1972,2822.75,2283.3607462807,-2684.5180302118,-872.1202634997,-441.6980262124,-2473.6425347275,1659.2377901775,1554.9852377466,-1833.1822684896,1659.5726151164,-872.5139013036,-2684.6459372687,2787.9778363789,1359.7831345059,-2283.6040633496,2355.83073944,-2146.4762595928
1973,2903.75,897.7018299922,-2349.3047643228,-303.6617703909,-897.2096614219,-2699.8079887546,1942.9367201131,1376.048209875,-1706.8232931599,2761.5023966908,-1706.6139536609,-2887.8285253289,2761.6623410459,1069.0186557573,-2157.9529568868,2557.001248846,-2349.1526788242
