Year,Mean_mpmah,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1973,1636.25,505.8509235729,-1323.8226157979,-171.1120350588,-505.5735888081,-1521.3295984846,1094.8360596763,775.396946503,-961.7872108249,1556.0941184969,-961.6692489635,-1627.2783209882,1556.184246418,602.3871805365,-1215.9967372212,1440.858646035,-1323.7369163069
1974,1397.25,-431.1612017696,-821.5435391163,145.8388096887,-634.1947068802,-1353.3207708931,1038.2872529646,549.2388577679,-730.1297858298,1329.0626699252,-1130.2096158839,-1389.6181504603,1245.031982025,347.6067513286,-935.0225360018,1284.7740033242,-1191.3093881709
1975,1831.5,-1480.8748730968,-566.6435916532,565.5119331082,-1076.239869148,-1817.0222605624,1481.5747290447,566.1586243939,-831.6426304776,1077.6835621975,-1741.6392537028,-1742.0070331409,1481.9244225184,229.8311437137,-1076.7212138043,1741.7969634904,-1631.7974093533
1976,1645.5,-1645.4990077859,-0.9035176505,822.2282987037,-1163.2247228516,-1645.4999603114,1424.8941917765,366.4098679241,-629.9142673998,1.8070350285,-1645.4997519465,-1425.34587901,1163.8636063332,0.3614070754,-823.0108093103,1604.1864164391,-1520.1573161111
1977,1102.25,-892.6559465292,339.8713325938,737.1623078501,-891.5094612093,-1093.5975286029,1006.849595602,148.1796747404,-340.7996177243,-646.6223191524,-1048.5430557592,-819.4795875341,648.2020850585,-137.8387025969,-448.5632110819,1092.2444078565,-1048.2417102267
1978,1195.75,-371.4798614353,702.0046360918,966.9753772408,-1065.1854547699,-1158.2864465284,1137.1189185472,53.9432351365,-279.3944836239,-1136.5829380419,-967.991504821,-703.4036410981,543.3212764531,-296.9689719289,-369.8359468496,1194.5326240346,-1162.6507579753
1979,1704.5,523.3890575212,1377.9399294862,1556.6632556475,-1620.8051795033,-1585.0616203719,1667.1311839881,-75.9725130164,-267.0747288089,-1622.1541679098,-1003.2954703015,-694.3484417185,527.5517226731,-626.8172856774,-354.9561457059,1702.8060451108,-1683.4462685906
1980,1448,1169.4342257284,1376.5981183437,1416.1192188263,-1430.038124555,-1269.2229020769,1440.0077480452,-193.8834736271,-114.0368266051,-853.8896835628,-449.0897689467,-302.1760382143,227.3652619007,-696.9772053974,-151.9265795369,1434.9610442985,-1443.5025466475
1981,1812.5,1812.4934382821,1812.4983595698,1812.4992709199,-1812.4995898924,-1466.9164290804,1812.49981773,-402.6399009225,-0.6096392478,-4.8771081887,-2.4385563014,-1.6257044733,1.2192784266,-1064.571481909,-0.8128523184,1767.2117474103,-1812.4998974731
1982,1037,840.7811219918,986.7266651676,1014.5548281422,-1024.354565514,-756.3675826906,1031.3734427412,-320.0265992151,80.9731917426,607.0058524447,318.9662807371,214.586813885,-161.4519250756,-709.4202420673,107.8787356631,986.3832803707,-1033.8338078333
1983,1828.5,570.8216459843,1481.0738721756,1671.2418434856,-1739.4763328762,-1166.4672268903,1788.7534711096,-717.8468523664,285.2891299505,1737.1168350102,1072.3023991202,741.8645095857,-563.5905760066,-1408.1074030736,379.1744579917,1681.6979950478,-1806.1069631481
1984,1248.75,-381.5518189274,735.8375257536,1011.1513772819,-1113.160741489,-669.8824547657,1187.8661214297,-591.170589752,290.9614120168,1189.0310222922,1008.9200653138,732.7683499722,-565.9061106823,-1053.8662435514,385.1631343465,1099.9517699937,-1214.3796849492
1985,889,-717.1386137333,276.3917259897,595.7297437096,-719.7337161773,-379.1555444435,812.3806811335,-489.3270903251,274.2970345432,525.388626345,844.9429648233,659.8689812832,-521.8279197183,-804.0908363598,361.0521138577,742.2129065665,-845.6252934018
1986,1186.75,-1186.7391126776,2.5417051227,594.841849908,-840.0571203955,-367.6927062083,1028.1790038409,-739.3586162568,453.5624405033,5.0833985865,1186.7472781663,1026.9073649059,-838.259862437,-1128.3517343015,592.6411212199,928.2911176279,-1096.6570453267
1987,1105,-896.9433171161,-339.0447128232,343.0754858163,-650.5307803365,-208.0552934369,894.4616849891,-763.0989809505,501.0930491077,-645.3818140301,1051.7003768691,1050.392408118,-893.2159334869,-1085.2363774187,648.81684171,799.1901809158,-984.8506263063
1988,1906.5,-598.055595772,-1116.814500412,202.3931167309,-867.6218660697,-121.5825655588,1417.8513192587,-1434.8486631341,995.1434977776,-1810.2684205294,1545.1432366191,1895.7265826854,-1697.6379318093,-1902.6192287876,1274.5351648645,1255.3690946898,-1626.1708608972
1989,1608.25,488.9564520042,-1298.6208600735,-165.3144551399,-498.9794907042,99.3009771586,1077.1724769092,-1300.3937140248,944.4533595088,-1532.1193329971,948.7106641554,1599.7309753274,-1528.8844071272,-1605.181416051,1194.2225577711,946.2791612546,-1301.7203671344
1990,1585.75,1277.6987846282,-1506.7703723899,-487.2289848966,-250.2418275216,295.4083645482,933.2683696827,-1360.6390081455,1029.0243156767,-939.1958678889,494.2126135459,1509.0430672372,-1565.8806117513,-1557.991322394,1282.0347938531,814.4105549494,-1206.5289139702
1991,1619,1618.9720489448,-1618.9930122211,-806.7521517561,-2.3783622511,498.4886026301,810.8727601501,-1458.0784072181,1143.9646916569,-9.513397678,4.7567193695,1403.6780135191,-1618.9982530543,-1540.3474001172,1401.3016687518,703.6820009098,-1145.6464481865
1992,1374.25,1116.7740629233,-1308.2984786494,-917.4419769492,212.8777562548,583.5861822702,560.2537039938,-1286.1929447087,1044.2964902347,800.8612581975,-420.6163968081,1023.1633698641,-1357.6620063153,-1244.1825550792,1254.8620839205,484.0152595546,-893.3128807889
1993,1393,439.0802976188,-1129.6211432562,-1125.180384761,428.3028995023,744.8739964014,431.8985552348,-1342.4548667708,1126.2936870565,1321.9899743353,-815.1104665679,821.229627905,-1325.5208886615,-1177.120099856,1324.3536680155,371.8385814886,-819.7020986289
1994,1608.75,-486.6669537904,-950.0397624809,-1468.1723616645,727.9079937083,1023.7612168917,336.2694423169,-1582.6156239803,1370.9665472538,1533.3727004836,-1298.2684669225,657.682658236,-1434.6520537035,-1240.9631474337,1573.2130894014,288.7981115479,-841.7406303672
1995,1202.25,-967.5630297235,-375.6011248751,-1175.3788500456,704.9250350636,875.224709799,127.0941384027,-1197.2993882268,1070.72433098,713.601321476,-1142.0721770066,252.7639637397,-973.902334652,-824.2492158669,1195.51333848,108.9919146167,-546.767290122
1996,1465.25,-1465.2091323825,-5.4718039346,-1465.2454591349,1034.151826809,1184.1243277239,1.8239384132,-1465.2491659632,1353.1904017417,10.9435315613,-1465.23978306,3.6478740001,-1038.0209832213,-863.0220964683,1465.2488647833,1.5633758898,-561.990479576
1997,1405.75,-1143.6755856677,429.1917449973,-1375.7850272052,1135.6648621028,1230.8118688639,-145.1262562501,-1400.2301806506,1336.5242127251,-817.3978329111,-1338.6289659671,-288.7016131199,-828.4916315118,-679.142993753,1398.238689297,-124.4528171446,-435.7018376132
1998,1667.25,-528.0445402699,974.5102110125,-1524.9353787351,1483.9937182836,1549.172807966,-344.4372601099,-1640.8002354376,1620.7885564299,-1581.4207302269,-1352.7942974202,-674.0138375302,-759.9244742701,-616.2679397461,1631.2834016038,-295.7991715472,-390.8542155917
1999,1257.5,378.5000398579,1014.2164586816,-1019.410453813,1195.1325129023,1217.4646897773,-386.909294493,-1212.5850338794,1241.810248181,-1199.1847104711,-743.4186068019,-736.2802297066,-391.1067969288,-314.7792546303,1196.4979932432,-333.0822505203,-198.0241336623
2000,1312.5,1055.0494359869,1246.4767616632,-881.0727319186,1295.8890769821,1301.8609135844,-532.094112614,-1229.3833160103,1308.3406787873,-780.7220616991,-411.0376292185,-972.8140064111,-208.1531891625,-166.7765321657,1199.8050280448,-459.6443324087,-104.4074625231
2001,1250,1249.9486818381,1249.9871703937,-628.2669080431,1249.9967925943,1249.99794726,-623.3644058439,-1126.9122142427,1249.9991981483,-11.3266398906,-5.6633780724,-1080.6390203292,-2.8316963021,-2.2653577393,1083.4744194151,-540.8963499513,-1.4158490593
2002,1273.5,1037.2590382205,1213.0028102139,-397.3181254598,1258.2848105273,1263.7552794814,-746.9329344817,-1094.1088112658,1269.6905048488,738.8477093623,387.8484657867,-1209.9341127438,196.2691661884,157.2413545571,1031.4521032925,-651.7117147256,98.4290195864
2003,1154,367.2329607072,936.8838873244,-124.3354613517,1098.3806275541,1118.2995355966,-770.7894905875,-934.5445053157,1140.0103605225,1094.0091190526,673.7689378948,-1147.2823074773,353.9434940973,284.8195019384,858.8361666813,-677.0100202982,179.1434562056
2004,1642,-491.7377701835,971.7845906781,166.1821712208,1464.8949276131,1527.9009048163,-1218.4077981416,-1238.0880448433,1597.1101200513,1566.6390667205,1323.5553291497,-1633.5689412964,741.786256986,601.400719206,1100.7481262431,-1078.5647839681,381.3177997807
2005,2337.75,-1876.9766761622,733.8844724484,714.7404123935,1894.8236709476,2050.9095847463,-1888.9096671854,-1618.0248222296,2224.2638219485,1393.5686634117,2219.5694725778,-2225.8079893359,1369.2035343647,1121.9825924211,1377.3508382811,-1687.3265057922,719.5314537052
2006,2301.75,-2301.6193658481,12.2614672698,1143.7885624564,1631.9123589808,1865.0334946604,-1991.327244093,-1437.8549728361,2127.7108984521,24.5225865918,2301.7173412303,-1997.4485692738,1623.2421615723,1348.9637231204,1154.4127812152,-1797.3942638137,878.008767102
2007,1864.5,-1520.3463158552,-566.4249924253,1242.5178181052,1100.0592828623,1361.9596853658,-1701.9157913741,-1029.585312658,1662.4410941289,-1079.3087277817,1776.3791762898,-1390.1473740907,1505.400220602,1273.3522943154,761.4741552223,-1554.4498492904,844.1859146845
2008,1529,-488.8757183157,-891.7258622175,1233.5956896199,697.9943254316,977.2792472645,-1453.2736854132,-726.7160629448,1304.8130754221,-1448.7379100587,1242.0410567499,-903.3729432251,1360.3841081347,1175.9108269193,475.2226796835,-1345.2601101118,797.0594947729
2009,1402.75,417.9563115348,-1130.0433129985,1279.2583332052,437.3438608185,754.3790652884,-1371.5296550574,-553.4543827778,1136.0439391289,-1339.0369987974,831.0894496065,-575.5047171179,1332.8307881739,1182.6325669262,294.3025106896,-1288.9514376749,822.8679911556
2010,1730.25,1387.5711838316,-1642.3474211209,1690.9961634091,275.7656950254,740.4374262971,-1720.408552385,-537.4799704867,1317.3664365539,-1033.6398174897,544.4814145934,-366.4656025272,1708.1329994901,1563.8150402904,184.2809685797,-1644.6520433896,1121.7445049302
2011,1490,1489.8882642728,-1489.9720658063,1489.9875847813,4.5619046765,463.9048457601,-1489.9968961921,-334.0971315303,1055.2007481915,-18.2471910793,9.12376659,-6.0825321774,1489.9930164352,1415.9421930574,3.041272424,-1452.0602971996,1051.9749906799
,,-38.1756652231,-69.7632855697,-96.5480658855,307.0567654943,56.9494874124,-231.7885935106,16.4548268547,-30.3754485281,19.4074551821,7.5609500458,-187.1955944492,30.1179607137,-158.0258230862,335.4365056244,-85.0326032534,-323.127145411
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,1834.0307318688,,,,,,,,,,,,,,,,
20,4924.0839790811,,,,,,,,,,,,,,,,
30,9321.5290262367,,,,,,,,,,,,,,,,
40,95190.9487933507,,,,,,,,,,,,,,,,
50,28215.4048786134,,,,,,,,,,,,,,,,
60,166243.601387134,,,,,,,,,,,,,,,,
70,7501.3049428618,,,,,,,,,,,,,,,,
80,105333.819974739,,,,,,,,,,,,,,,,
