Year,Mean_asmmeg,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1898,3647,-1044.3076295866,2178.5338045229,352.4930944347,-3259.2730619798,3397.2329448868,-2700.5695061786,2943.195755302,-840.8448557729,-3494.2854169039,-2924.8246891995,3629.9252910185,1636.3826286821,-1326.4302914875,-2451.0269974642,2153.6498661511,-3548.7446975685
1899,4188.25,1387.1993492322,3416.9705688608,-470.3068891256,-3990.774677148,4061.5044234486,-2790.3113835305,3144.8110049237,-643.0692112576,-3951.8496970393,-2421.9310877974,4161.7603838449,1270.8876971371,-1022.5555636775,-3123.395659445,2766.1528890882,-4138.5867215793
1900,2972,2444.12397054,2836.9632038894,-940.1449786769,-2938.0468547965,2950.2550537557,-1737.6238262887,2046.7350098759,-224.6205105782,-1690.8701950865,-885.677017754,2819.3813894308,447.9561128284,-358.8580747164,-2411.109171795,2154.9152650043,-2963.4995573186
1901,3763.25,3762.2726158979,3763.0056460413,-1906.3303069613,-3763.1889110145,3763.2109030112,-1869.2315312486,2336.755837605,10.7213134616,85.7631981972,42.8843836515,3244.6810819032,-21.4425399034,17.1540653384,-3266.1941223825,2949.8513043743,-3763.2347277226
1902,4514,3591.3585409227,4277.1245278648,-3045.4996697853,-4454.387506649,4475.81768405,-1820.5508082157,2474.6415921569,366.8043040821,2734.6553403567,1443.0529349741,3331.8354943391,-731.1825631189,585.8771706986,-4130.5920586165,3775.2278064201,-4499.0721935202
1903,4244,1221.7314502963,3405.6250729534,-3451.7963093283,-4028.9582282281,4105.9500345394,-1296.5555258474,1999.2603899271,675.5136117799,4064.3459822408,2532.4402979086,2469.137144613,-1333.8034319917,1073.6434761439,-4041.0988318024,3743.593713702,-4189.894671743
1904,3528,-1163.2133062511,2042.4210456645,-3233.3475735297,-3134.680641557,3274.5482953457,-720.9485975392,1376.4658419972,832.9557901194,3330.7234655793,2876.682163922,1411.4699673567,-1618.8147749041,1313.0565339881,-3453.5513778872,3248.4035749603,-3428.260295209
1905,4132.25,-3394.5459103181,1234.5804397827,-4048.0086095373,-3329.9463272546,3612.517676121,-417.1968874163,1264.8489044235,1287.501330427,2356.3845452818,3943.5138138728,830.1303268838,-2446.8239659003,2006.2916294032,-4111.1357092208,3933.9099267114,-3926.5545184868
1906,4156.75,-4155.8160197998,-44.0586098121,-4156.6462209676,-2923.6475451193,3352.4922026793,14.6864477157,912.6868771682,1600.8901632101,-88.1122697204,4156.5164983916,-29.372712097,-2954.8021244101,2457.5122773803,-4156.7240551609,4055.3141958109,-3836.1075646855
1907,3707.25,-2953.0778603203,-1182.3503425017,-3620.7851532061,-2163.3809483377,2691.8473808925,400.3416061796,486.6757222006,1691.6720340798,-2241.212554263,3513.6519790791,-796.0009025263,-3010.5623120722,2549.0508509017,-3685.5703983049,3675.1665681872,-3298.7798186015
1908,3613.5,-1045.7378690519,-2153.9044152633,-3290.9454738504,-1623.922511305,2291.8622386333,763.3972688717,151.5147109707,1895.9612674577,-3458.8747533311,2901.392427768,-1492.3337891181,-3228.0424295968,2793.6982172609,-3531.9409479604,3610.3220829117,-3076.1523243007
1909,3535.5,1160.3686818356,-2881.166753646,-2846.1918761218,-1075.4987662672,1882.3143449107,1103.8679431824,-168.8329929136,2085.3458180674,-3339.6563853509,2049.057926874,-2097.3678872097,-3367.9463555344,2992.7667728949,-3358.7550988446,3531.4665042308,-2855.0119210029
1910,4182.5,3432.0222028555,-3990.4723475701,-2777.9336834048,-633.7016870295,1765.7269035821,1713.8551016874,-573.2257034652,2724.2291518886,-2390.508282585,1252.7716045946,-3126.7220376307,-4134.2143657358,3791.5056048972,-3815.2335368127,4143.0325297886,-3173.6228159629
1911,3907.25,3906.4990347336,-3907.0622541728,-1931.4689496161,19.1516302641,1192.8259213314,1964.6717930882,-880.1109426407,2769.6058176074,76.6019198554,-38.3028004014,-3396.4732089579,-3907.2030632613,3720.7215542016,-3377.3758020013,3806.8369141775,-2756.0635293069
1912,3725.5,2971.1985136666,-3531.8939899624,-1128.4392511273,600.5327594708,683.9671460927,2199.4715069677,-1161.0012548836,2838.717584175,2247.5163275015,-1185.3586350416,-3550.4894178853,-3676.7799301566,3662.1768380385,-3006.9378676716,3539.9754711239,-2412.6816464871
