Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1951;0;0;689;170;716;2303;2935;2403;2155;1496;367;0;1102.8333333333
1952;10;20;315;821;703;1780;4212;3121;2250;2118;25;0;1281.25
1953;302;226;32;268;532;2845;3442;3766;2538;769;824;0;1295.3333333333
1954;88;60;4;61;824;1785;2036;2973;2606;671;0;407;959.5833333333
1955;20;22;88;347;469;1901;3571;2721;1850;1605;1008;1;1133.5833333333
1956;24;350;669;212;1701;3336;2786;3280;4161;1483;131;55;1515.6666666667
1957;530;272;86;37;81;2111;3426;2398;2853;320;0;0;1009.5
1958;138;202;210;335;632;845;2862;2135;3760;1043;108;0;1022.5
1959;275;120;80;350;698;1848;2647;3245;3960;3942;0;5;1430.8333333333
1960;8;3;357;25;1303;1298;3747;2992;2620;1033;12;0;1116.5
1961;96;813;43;49;881;3452;2070;2857;4007;1138;11;4;1285.0833333333
1962;115;143;54;695;875;1936;2508;2548;2461;1573;0;4;1076
1963;4;40;22;560;996;2812;2633;2058;2636;1231;83;2;1089.75
1964;12;46;141;402;829;1233;3826;2113;2433;1391;131;0;1046.4166666667
1965;5;424;542;354;375;2320;3137;2892;1770;1155;1;6;1081.75
1966;350;35;41;267;547;2882;1823;2523;1976;1184;435;66;1010.75
1967;567;81;517;756;487;1486;2215;4305;4116;1283;0;35;1320.6666666667
1968;69;79;93;98;250;3581;3951;4743;924;1206;610;3;1300.5833333333
1969;32;48;188;886;1023;1385;3131;3680;3171;469;242;5;1188.3333333333
1970;111;158;352;98;759;2990;2987;2301;4932;2233;257;0;1431.5
1971;251;162;73;1801;1313;2652;4875;5432;2922;2021;320;0;1818.5
1972;13;427;22;151;222;1305;2630;5340;1996;497;37;0;1053.3333333333
1973;18;95;770;236;1273;2263;2732;3116;4500;1943;242;320;1459
1974;29;0;844;385;951;1014;4755;4153;2977;1465;8;0;1381.75
1975;91;257;113;515;580;1420;3535;3093;3032;1138;302;0;1173
1976;0;311;243;490;1341;1361;2591;2536;2168;582;55;0;973.1666666667
1977;111;188;86;748;1553;3466;4533;3037;1420;1030;500;440;1426
1978;20;208;582;620;1103;2516;2448;3422;5640;1493;108;73;1519.4166666667
1979;172;260;91;270;252;2598;2697;1900;1838;480;106;172;903
1980;133;207;690;148;1288;2878;3782;2673;1510;1351;6;6;1222.6666666667
1981;197;680;622;1061;2592;2368;4378;2743;2093;100;29;750;1467.75
1982;20;482;834;679;345;1946;2466;3628;1008;305;131;0;987
1983;126;409;547;550;1119;1913;2088;3710;2101;2246;32;128;1247.4166666667
1984;175;12;12;560;693;5380;3346;4498;1968;975;0;0;1468.25
1985;88;218;108;168;914;2923;2470;3530;1921;1358;11;0;1142.4166666667
1986;90;88;71;572;1336;1976;3120;1926;4625;1605;1020;188;1384.75
1987;15;59;226;617;1048;1643;3653;4542;2878;238;410;49;1281.5
1988;15;192;575;397;1140;3972;3237;2711;2036;845;327;2;1287.4166666667
1989;2;45;118;35;1728;2805;3737;2423;3272;981;63;178;1282.25
1990;0;614;1188;1003;1491;3035;3706;2023;3311;1833;552;35;1565.9166666667
1991;218;138;487;320;685;2446;3517;2698;2696;910;35;1210;1280
1992;81;447;0;191;1125;1306;3522;2468;2046;615;55;2;988.1666666667
1993;30;27;671;1069;1471;3468;3082;4390;5071;1186;295;0;1730
1994;212;599;170;733;1215;3658;4303;3481;1668;1264;133;0;1453
1995;182;457;98;91;3172;1778;5147;3651;4886;986;1720;101;1855.75
1996;145;285;138;402;706;2917;2530;4722;1803;1150;18;0;1234.6666666667
1997;206;255;750;1158;1153;1900;5254;4926;2448;362;263;382;1588.0833333333
1998;542;499;1695;462;710;1465;3015;2583;2640;2441;940;0;1416
1999;0;0;12;106;2567;2431;3628;3937;4243;2436;110;0;1622.5
2000;140;532;59;627;2531;2173;3783;2275;3760;993;27;0;1408.3333333333
2001;0;17;425;337;1888;3681;3123;2415;1731;1651;81;0;1279.0833333333
2002;281;12;285;716;1320;3297;3433;4243;2882;689;540;1;1474.9166666667
2003;4;203;622;337;1040;2645;3802;3185;1601;3755;80;138;1451
2004;29;37;153;587;693;2890;2438;3743;2393;2651;0;8;1301.8333333333
2005;418;141;776;387;965;1784;3594;2586;2357;4487;0;26;1460.0833333333
2006;0;0;94;386;1271;1857;4921;3325;3746;753;50;0;1366.9166666667
2007;29;685;354;325;1261;1946;6736;3894;4376;768;331;0;1725.4166666667
2008;1081;178;57;453;985;3463;2980;2701;2360;1083;0;0;1278.4166666667
2009;22;13;232;18;2690;727;2892;3412;2664;789;127;0;1132.1666666667
2010;22;188;76;122;1482;2103;1951;1936;1902;976;55;334;928.9166666667
2011;24;33;451;920;1320;4392;2223;4613;2552;276;8;0;1401
