Year,Jun,Jul,Aug,Sep,Mean,Difference,Total,Root_Total
1979,2598,2697,1900,1838,2258.25,413.6329787234,,
1980,2878,3782,2673,1510,2710.75,236.2145390071,,
1981,2368,4378,2743,2093,2895.5,3738.1276595745,,
1982,1946,2466,3628,1008,2262,1349.7451241135,,
1983,1913,2088,3710,2101,2453,109.0496453901,,
1984,5380,3346,4498,1968,3798,18156.0283687943,,
1985,2923,2470,3530,1921,2711,4276.2570921986,,
1986,1976,3120,1926,4625,2911.75,90.1600177305,,
1987,1643,3653,4542,2878,3179,593.3727836879,,
1988,3972,3237,2711,2036,2989,53.9898049645,,
1989,2805,3737,2423,3272,3059.25,2.1719858156,,
1990,3035,3706,2023,3311,3018.75,414.4898049645,,
1991,2446,3517,2698,2696,2839.25,1355.9401595745,,
1992,1306,3522,2468,2046,2335.5,12939.897606383,,
1993,3468,3082,4390,5071,4002.75,21626.8727836879,,
1994,3658,4303,3481,1668,3277.5,4607.3475177305,,
1995,1778,5147,3651,4886,3865.5,3730.4082446809,,
1996,2917,2530,4722,1803,2993,32.7943262411,,
1997,1900,5254,4926,2448,3632,9371.2783687943,,
1998,1465,3015,2583,2640,2425.75,7149.0496453901,,
1999,2431,3628,3937,4243,3559.75,2216.1773049645,,
2000,2173,3783,2275,3760,2997.75,1812.2712765958,,
2001,3681,3123,2415,1731,2737.5,2252.0017730497,,
2002,3297,3433,4243,2882,3463.75,890.0217198582,,
2003,2645,3802,3185,1601,2808.25,169.2925531915,,
2004,2890,2438,3743,2393,2866,3126.9219858156,,
2005,1784,3594,2586,2357,2580.25,2147.3408687943,,
2006,1857,4921,3325,3746,3462.25,4010.6666666667,,
2007,1946,6736,3894,4376,4238,16956.6600177305,,
2008,3463,2980,2701,2360,2876,10.1068262411,,
2009,727,2892,3412,2664,2423.75,5445.4898049645,,
2010,2103,1951,1936,1902,1973,1606.9219858156,,
2011,4392,2223,4613,2552,3445,2589.4898049645,,
