1871,602.9166666667
1872,763.0833333333
1873,712.3333333333
1874,757.5833333333
1875,883.5833333333
1876,677.4166666667
1877,379.8333333333
1878,1345.25
1879,792
1880,868.4166666667
1881,962.25
1882,865.4166666667
1883,829.5833333333
1884,1094.5833333333
1885,624.5
1886,856.5833333333
1887,778.1666666667
1888,510.1666666667
1889,751.5
1890,681.4166666667
1891,728.9166666667
1892,1069
1893,1010.4166666667
1894,1142.4166666667
1895,615.6666666667
1896,875.6666666667
1897,713.5833333333
1898,731.5
1899,184.9166666667
1900,655.5833333333
1901,400.25
1902,712.0833333333
1903,716.3333333333
1904,326.5
1905,614.4166666667
1906,780.75
1907,896.5
1908,861.3333333333
1909,753.8333333333
1910,775.5
1911,302
1912,916.5833333333
1913,960
1914,873.8333333333
1915,402.25
1916,810.9166666667
1917,1289.3333333333
1918,326.9166666667
1919,881.5833333333
1920,569.5833333333
1921,980.3333333333
1922,711.8333333333
1923,384.1666666667
1924,685.6666666667
1925,484.4166666667
1926,1079.9166666667
1927,1135.5
1928,677
1929,641.75
1930,731.8333333333
1931,858.9166666667
1932,740.6666666667
1933,995.4166666667
1934,835.1666666667
1935,631.75
1936,516.3333333333
1937,999.8333333333
1938,655.75
1939,507.75
1940,668.1666666667
1941,853.75
1942,914.25
1943,742.3333333333
1944,1114.3333333333
1945,1062.9166666667
1946,945
1947,747.3333333333
1948,376.6666666667
1949,666
1950,924.5
1951,407.3333333333
1952,691.6666666667
1953,854
1954,1166.5
1955,772.5833333333
1956,1166.9166666667
1957,529.25
1958,974.9166666667
1959,1248.6666666667
1960,560.1666666667
1961,823.0833333333
1962,545.4166666667
1963,910.75
1964,842.3333333333
1965,533.8333333333
1966,574.4166666667
1967,809.8333333333
1968,469.6666666667
1969,529.0833333333
1970,1000.75
1971,645.1666666667
1972,365.5
1973,917.5833333333
1974,328.1666666667
1975,1000.9166666667
1976,1038
1977,920.3333333333
1978,706.4166666667
1979,693.3333333333
1980,666.8333333333
1981,853.25
1982,637.3333333333
1983,997
1984,863.6666666667
1985,497.1666666667
1986,390.75
1987,336.6666666667
1988,921.6666666667
1989,659.4166666667
1990,849.6666666667
1991,641.8333333333
1992,778.75
1993,710.75
1994,1149.5833333333
1995,549.4166666667
1996,741.1666666667
1997,1123.5
1998,939.4166666667
1999,473.5
2000,462.4166666667
2001,684.8333333333
2002,500.25
2003,977.5833333333
2004,809.3333333333
2005,1077.3333333333
2006,984.1666666667
2007,934.75
2008,787.5833333333
2009,504.0833333333
2010,815.1666666667
2011,705.75
