Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1958;10;0;6;17;0;1171;3267;2812;3767;614;35;0;974.9166666667
1959;0;0;0;40;5;1080;6187;2521;3832;1280;39;0;1248.6666666667
1960;12;0;0;0;50;1855;2036;1861;821;81;0;6;560.1666666667
1961;0;25;0;0;10;1134;3357;1878;3340;133;0;0;823.0833333333
1962;0;0;25;17;30;460;2481;1398;2056;0;49;29;545.4166666667
1963;17;0;10;18;13;651;3100;4225;2370;188;329;8;910.75
1964;0;0;0;0;20;1078;4353;3353;1300;0;4;0;842.3333333333
1965;96;0;2;2;5;50;4307;1698;226;0;20;0;533.8333333333
1966;13;0;0;1;12;1155;3242;690;1776;2;2;0;574.4166666667
1967;0;0;549;1;0;1666;4125;2013;1121;32;0;211;809.8333333333
1968;0;8;8;0;0;325;2301;2478;407;106;3;0;469.6666666667
1969;0;6;0;0;0;863;2661;1291;1443;0;50;35;529.0833333333
1970;1;8;1;4;50;2418;2180;4037;3112;161;37;0;1000.75
1971;0;0;0;2;74;1675;2593;2000;1338;60;0;0;645.1666666667
1972;0;32;0;0;10;773;1645;1773;150;3;0;0;365.5
1973;27;8;0;0;20;1189;2710;3503;3475;74;0;5;917.5833333333
1974;0;0;0;0;522;256;1323;833;567;205;0;232;328.1666666667
1975;0;1;1;0;0;2218;1913;4007;3075;796;0;0;1000.9166666667
1976;32;0;0;0;0;2538;4045;3980;1156;0;705;0;1038
1977;88;3;0;20;225;2326;5322;1706;1303;0;51;0;920.3333333333
1978;0;13;0;27;0;2075;2166;3160;415;133;377;111;706.4166666667
1979;0;96;0;0;18;1106;1403;3887;507;118;1185;0;693.3333333333
1980;0;5;0;0;0;2712;2203;2638;217;0;40;187;666.8333333333
1981;11;0;8;1;27;934;3783;3558;1258;382;277;0;853.25
1982;12;0;0;30;723;322;3063;2195;222;35;933;113;637.3333333333
1983;6;0;0;128;13;1396;4363;3643;1700;715;0;0;997
1984;0;0;0;0;0;845;4176;4302;995;46;0;0;863.6666666667
1985;0;0;0;27;6;71;2677;1768;158;1253;0;6;497.1666666667
1986;0;0;11;0;32;1918;1308;1371;25;4;20;0;390.75
1987;0;13;0;0;5;733;1218;1706;61;20;153;131;336.6666666667
1988;0;0;0;48;0;644;6094;2118;2106;50;0;0;921.6666666667
1989;17;0;0;0;0;1054;3332;2990;515;5;0;0;659.4166666667
1990;0;49;0;0;251;835;1913;5082;1793;173;68;32;849.6666666667
1991;0;0;0;0;0;783;4626;1856;429;0;8;0;641.8333333333
1992;8;0;0;0;20;1591;2326;2901;2331;141;27;0;778.75
1993;0;73;3;0;0;981;5537;615;965;320;35;0;710.75
1994;160;1;0;3;3;2745;4402;3162;3308;5;6;0;1149.5833333333
1995;111;0;11;5;0;45;4290;1201;641;271;6;12;549.4166666667
1996;55;0;0;0;0;1135;3941;2323;1160;268;12;0;741.1666666667
1997;75;0;4;135;113;5682;2043;4165;1013;167;50;35;1123.5
1998;0;0;0;0;0;1178;3241;1881;3822;1075;76;0;939.4166666667
1999;0;32;0;0;217;1670;2173;442;342;806;0;0;473.5
2000;0;0;0;0;567;609;3065;1175;98;3;0;32;462.4166666667
2001;0;0;0;15;247;2466;2822;2158;46;464;0;0;684.8333333333
2002;0;0;5;0;0;2185;410;2413;960;4;20;6;500.25
2003;6;669;0;0;0;2170;4932;2826;1120;8;0;0;977.5833333333
2004;0;0;0;0;131;1763;3192;4032;412;182;0;0;809.3333333333
2005;0;0;0;0;7;3064;3986;2209;3626;36;0;0;1077.3333333333
2006;0;0;8;0;0;1328;5255;4080;1073;59;7;0;984.1666666667
2007;6;36;2;0;7;853;4487;3604;2179;0;43;0;934.75
2008;0;9;0;26;0;883;3017;3458;2024;8;4;22;787.5833333333
2009;0;0;0;0;0;170;3891;1152;520;260;56;0;504.0833333333
2010;1;0;0;0;0;642;3414;3306;2055;79;283;2;815.1666666667
2011;0;14;0;0;0;152;2814;4005;1464;20;0;0;705.75
